# Constructed from biom file
#OTU ID	HBC	HCY	HY	HCN	C2_M	HAK	HCB	HCT	HBD	HAD	C10_M	HBI	C23_M	C13_M	C3_M	HCH	C24_M	HT	HDE	HCW	HK	C22_M	HCA	HF	HDB	C6_M	HCR	HAF	HBH	HBZ	HBJ	HAV	HBY	HM	HBR	HO	C19_M	HJ	HCJ	HAZ	HBL	HZ	HQ	HCQ	HDC	C9_M	C16_M	HP	HR	HCP	HL	HBG	HE	HAO	HAN	C7_M	HAE	HN	HU	HA	HAR	HAC	HCK	HAX	C4_M	C15_M	HCZ	HBB	HAL	HCO	HAG	HI	HDD	HDA	HBE	HBA	HBM	C14_M	HBF	HW	HCM	HBK	HC	HD	HG	HAA	C5_M	HAB	HAI	HBW	HAM	HCF	HAJ	C25_M	HBV	HAT	HCV	HCI	HAU	HCL	HS	HB	HCD	HCU	HAH	HAP	HV	HDF
d314e4164a581930ac3127a1ac968cf6	4413	2	0	0	0	0	9123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	2681	0	0	14463	0	0	191	0	0	26	0	0	2797	0	0	7	0	0	0	0	0	14	0	1963	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	1	2	0	8	0	768	0	0	4685	0	0	109	0	0	0	0	119	0	0	0	0	0	2	0	4442	3	0	73	0	0	0	145	0	0	0	0
bf4a5d6b4b3003757a33dcd233cb985e	3728	0	23	0	0	0	3414	0	678	0	2948	4602	0	0	0	43	0	0	0	0	2124	0	1325	3	0	0	3107	4812	0	5585	0	0	678	37	0	29	0	16	3516	23	1619	1	4	0	0	0	0	10	2	0	5072	132	2	0	0	988	0	4	634	318	160	0	3820	457	0	7329	0	555	21	0	3542	32	7	0	157	14	0	0	0	49	0	584	11	1276	0	0	0	5915	0	2503	0	3	0	0	0	173	0	4	0	7	1825	2110	4	202	694	0	74	0
5878be325c073ca799ab63da67d78125	2871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c17c65cbdf35cf7308e07332167b5ad	2167	57	0	973	1524	671	1145	2443	514	1044	210	712	1183	2085	4283	1380	6185	4589	959	1368	690	0	0	75	3212	163	816	759	0	2064	356	13	352	18	1351	572	2839	0	696	256	1070	527	139	2124	210	2214	0	10702	789	0	0	2951	597	0	11817	430	400	729	182	1253	239	605	2738	1416	16689	723	21	1189	784	2257	380	0	884	417	71	318	0	107	1553	71	10450	1057	845	647	38	1238	0	1317	109	4033	455	1997	1520	1404	8853	303	2286	2657	4649	13073	181	2220	0	24	84	37	56	235
89650e1a368753c8f0b4a74ca12b4e6b	1865	0	13	79	0	579	253	0	1048	373	250	170	62	375	402	239	3754	2049	1175	1323	128	0	0	0	113	59	1279	0	0	402	0	13	2364	26	87	33	5	16	1551	0	170	5	750	323	107	455	25	139	855	387	2338	1226	1387	119	0	35	0	1	463	0	0	1555	6441	255	1643	12	2389	502	200	183	1595	0	8	0	40	21	1919	69	338	41	1720	521	271	8	0	204	0	185	29	3582	267	145	2	309	204	212	5509	2	102	473	631	50	40	7	86	7	33	1834
431cc2583c355519b7163ed8fdb8d176	1720	0	0	191	0	33	0	0	0	0	0	0	214	1955	97	999	322	65	0	432	0	0	0	0	580	190	0	392	0	93	0	0	1521	0	295	0	0	0	0	0	1353	0	0	0	48	0	0	27	873	0	0	0	0	0	0	0	0	0	271	0	0	0	0	36	90	0	0	1264	0	28	368	176	0	0	0	64	0	191	649	0	3965	1220	0	0	0	0	0	301	0	6421	0	470	0	237	0	482	0	0	1359	1	0	0	0	0	0	23	0	0
47e27f733efd81c66bbba7f14323f589	1438	0	0	201	36458	905	1806	0	1538	0	1767	405	7039	8964	2975	233	378	5651	3	971	27	0	0	68	496	5117	52358	210	0	3214	0	2	19582	0	343	232	0	1734	45914	0	293	2	885	1102	330	7370	0	309	944	0	5895	4070	756	4604	0	60	188	568	383	103	0	59	4186	31	1573	97	68	789	878	532	7222	0	0	549	47	0	0	5027	6780	226	3501	221	219	0	117	212	12395	3159	115	33978	110	401	125	7693	166	744	1133	179	186	567	313	0	1989	22	0	2	185	123
b62f4a70d50c106e9ae7964a8a9fe512	1432	82	0	13	22	0	0	170	2	174	7	1004	10	70	60	1441	10	91	1671	0	7	2	0	0	232	0	52	76	0	0	1344	0	3	0	136	0	19	13	43	0	0	0	35	91	0	48	0	0	38	0	31	3	30	8	421	0	76	6	0	2	0	36	34	310	197	32	379	0	70	0	5	0	1272	0	5	0	4	0	4247	0	103	2299	6	18	9	10	31	0	237	665	465	33	71	46	330	4	12	119	1120	0	37	0	630	0	59	3	0	125
217b0976b06e11ff566625b7c5937c12	1184	886	4114	0	0	2192	7812	0	0	0	12479	0	0	0	0	0	1231	3295	0	0	2	0	1932	1445	5908	7147	519	0	0	13452	0	0	1441	0	2291	83	0	7357	409	0	31	3024	804	0	0	0	0	1394	10356	0	0	0	9054	1860	3	1284	0	0	8897	0	0	2	308	0	0	0	0	206	0	8232	0	11570	0	3	2	868	0	7011	0	0	0	0	0	0	0	21623	0	1607	0	0	0	0	0	0	0	0	0	2	0	5259	677	0	0	207	3309	41	0	0
24e01e7b03044cf49305b5a2545029ab	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	330	0	0	0	0	0	0	0	0	4	0	0	345	0	9	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	76	0	0	0	0	0	0	867	0	0	0	0	0	0	0	0	5881	0	0	0	0	0	0	0	0	0	0	0
