EC:1.1.1.170	EC:1.1.1.184	EC:1.1.99.1	EC:1.13.11.33	EC:1.13.11.5	EC:1.2.1.51	EC:2.3.1.74	EC:2.4.1.131	EC:2.4.1.17	EC:3.1.27.1	EC:3.2.1.101	EC:3.2.1.28	EC:3.2.1.89	EC:3.4.14.5	EC:3.4.23.16	EC:3.5.2.2	EC:3.5.4.1	EC:3.5.4.4	EC:3.6.1.42	EC:3.6.4.9	EC:4.1.2.27	EC:4.2.1.1	EC:4.2.1.36	EC:5.1.3.1	EC:5.3.99.5	EC:5.4.2.8	EC:5.4.3.8	EC:6.2.1.4	EC:6.3.2.25	EC:6.3.2.3	EC:6.3.2.6	EC:6.3.4.5	group	sample
0.119738715327523	0.299559749664727	0.665805939903013	8.16583810062334e-05	0.096312348652261	0.0152592913264413	0.0208136077951115	0.0855758181101877	0.00133004181184395	0.109522138340266	0.27944364054071	0.152314532420074	0.0339974152709778	0.0114702187229324	8.16583810062334e-05	0.0295937396255772	0.0395350288889876	0.154074827292447	0.0762785165333492	0.210209705929395	0.0717115241259362	0.161607194316173	0.0725101678371411	0.0738968137540007	0.047973061592965	0.110088798014521	0.0159397778348266	0.114740851235482	0.0117275663479217	0.0762321197259593	0.0717523533164393	0.0717931825069424	MngBulk	90
0.121184985397756	0.477885412405122	0.784151516133553	0.000485667124282835	0.109058760335548	0.0328951173588115	0.0278618398889712	0.0652184720576718	0.0128922545718716	0.117281987780792	0.318928770205187	0.133924917098829	0.0538406158824276	0.0204002267977167	0.00044151556752985	0.0320120862237518	0.0442354447108157	0.184862568124748	0.0733158675661693	0.182637329664398	0.0637747161518492	0.162442407605582	0.0656511573138511	0.0644855562155723	0.0769230497528882	0.0830468706745272	0.0377959401583928	0.141534437905206	0.023998578673085	0.0697837430259305	0.0639954739356142	0.0642603832761321	MngRoot	E-Rt195
0.148296624137415	0.533463043074823	1.09137040408006	0.000794820285588171	0.12279357272581	0.0345212836442087	0.0439400067183879	0.0650787348564144	0.0225815220672918	0.140351501980314	0.386967600824904	0.111566479466978	0.0738587263832605	0.0249095034463983	5.5452578064291e-05	0.0575238345449516	0.0721705034510809	0.197180125500275	0.0559372746725566	0.167962778257956	0.0557041684647678	0.209959890944906	0.0558345847131783	0.0557318947538	0.0995281355290583	0.0721304543669234	0.0440406428785787	0.156843509456472	0.03374802825009	0.0558345847131783	0.0557318947538	0.0557801590347078	MngRoot	E-Rt98
0.104696646479984	0.315738070799955	0.668797110720641	0.000507125977734001	0.0994694429384039	0.0183288374188493	0.0134414767673734	0.0835704765702735	0.00119298663701605	0.0929338386563961	0.203980618505123	0.141906804588975	0.0311147665696655	0.00544062981646883	0.00046637177584836	0.0203353363061776	0.0293059760832204	0.137282606056563	0.0835208529966276	0.218777200552826	0.0706559976641982	0.173564960517116	0.0832021169659022	0.0709128726336592	0.0483955586039349	0.133284315721154	0.026753730156316	0.110177356875167	0.00456334790590574	0.0835682311597013	0.0708754865476319	0.0711238289569185	MngRhizo	5-2-2R
0.170027769803662	0.595816089522327	1.02802121462958	0.00143779041902048	0.128777030166994	0.0418546116126562	0.0462744858637192	0.05756273819794	0.0365305269425204	0.170401595312607	0.458936311571697	0.112801581066767	0.0818986723272866	0.039032282271616	0	0.0748705397531265	0.0770538511301576	0.228549034947616	0.0598706580779528	0.150042482979277	0.0554859298149104	0.218061685128286	0.0554859298149104	0.0555572868208914	0.123460400706439	0.0564817328088245	0.0441976774806896	0.176010042976727	0.0433456535286774	0.0559832987968975	0.0554859298149104	0.0554859298149104	MngRoot	E-Rt100
0.145942678090072	0.531390448664588	0.982427418997197	5.8259140612002e-05	0.116234047234958	0.0323161687546272	0.0325121313185039	0.0641309558142905	0.0243911602028915	0.141823933391654	0.395413614476175	0.119837286810385	0.0630628715697371	0.0283333620509703	0	0.0568061929537088	0.0592530768594129	0.202766525328815	0.0630575752842269	0.174680323268319	0.0598409645510431	0.228617694904013	0.0620865896073602	0.0598798039781177	0.0942226846546412	0.0834818176399921	0.0342775598218979	0.162936692863743	0.0294614708646391	0.062390243309944	0.0598021251239684	0.0598992236916551	MngRoot	E-Rt1-2-2r
0.102562512533142	0.268278559455596	0.645194116098615	0.000660936312217432	0.096046825423723	0.0140924574497384	0.0120275374401772	0.0717136137400645	0.00960670640684541	0.0997901073284821	0.21937418745094	0.139001325000941	0.028168723983692	0.0154614572040471	0.000594437908101067	0.0173138714439321	0.0346948195389728	0.155732323476618	0.0737458627945598	0.206222826981197	0.066656554668763	0.179376264745436	0.0710064176684617	0.0679561647839937	0.0440352432058566	0.114374074721689	0.0276031984252068	0.0959933375769338	0.00941096979994637	0.0748060786549716	0.0669054899989552	0.0673174909809805	MngRhizo	97
0.104106076543763	0.544866456560173	1.17149366592394	5.84609766965224e-05	0.0934384867434028	0.0342255172729525	0.00534733323162559	0.0998498097509051	0.00043076509144806	0.100426727284094	0.230893781288372	0.117448717562016	0.0449509526713071	0.00337965983176106	5.84609766965224e-05	0.0351947387287106	0.0434574285613865	0.142162326237093	0.0882880746964392	0.214241633610395	0.0586538979196209	0.154487438571475	0.0881905371721613	0.0587037435944885	0.0774072561758122	0.137500524879572	0.0354255057419864	0.103228854203964	0.00354735052807477	0.0885957640474735	0.0586215905377623	0.0588662035718346	MngBulk	5-5-2
0.187577312176486	0.639801624160188	1.20679548602857	3.86744586109502e-05	0.138911693927983	0.0445785014624979	0.0451972928002731	0.055704369715696	0.043508765937319	0.184444681028999	0.456955745250165	0.0992510366224537	0.0920707366367447	0.043688988914446	0	0.0878552206481511	0.0920645487233669	0.231549398127964	0.0505923797765006	0.151758575589369	0.0494708204767831	0.235102033895966	0.050282984107613	0.0494708204767831	0.136823273162992	0.054196065829869	0.0459321075138811	0.183644893224925	0.043688988914446	0.0504376819420568	0.0494708204767831	0.0494708204767831	MngRoot	E-Rt180
0.118628998721608	0.338928181617659	0.64654079929629	0.000353986312899166	0.0958741632361513	0.0208105683194126	0.0298060727548941	0.0778042781357075	0.00640236866465195	0.111068999141799	0.297241562826057	0.149005914269375	0.03955504715609	0.013786969620952	0.000214305227268684	0.0298081987988154	0.0402370820460483	0.158507629762522	0.0765877558039304	0.200631363184346	0.0708903833035869	0.17110529041389	0.0711782496505331	0.0726014234514623	0.0571272253745536	0.107821254447596	0.0232251164008515	0.117903592535655	0.0163056938545355	0.0750888948394024	0.0709975359172212	0.0711486976400268	MngRhizo	100
