LEU-DEG2-PWY	PWY-5083	PWY-6317	PWY-6609	PWY-7385	PWY66-422	SO4ASSIM-PWY	group	sample
1.32966767519491	1.12646280243484	1.11683275072057	1.3296801919045	1.00553284458205	1.5524580858327	0.718615158510017	MngBulk	90
1.37744843242334	1.27941762401039	1.20650588858248	0.744397962286195	1.17719725006843	1.57729918778803	0.490420469957552	MngRoot	E-Rt195
1.71475603431834	1.81523503241635	1.57883189690474	0.624265304867219	1.39555962840175	1.71687279666729	0.312459740414791	MngRoot	E-Rt98
1.11570092982231	0.624327551936957	1.0944569887348	1.39495385293609	1.01386090394203	1.6191657915701	1.0243838171152	MngRhizo	5-2-2R
1.70171280533322	1.7691794040134	1.64043511074878	0.296812855212709	1.3707665374321	1.77043171408821	0.0998140305568464	MngRoot	E-Rt100
1.75354402129596	1.31544658753695	1.58647378275565	0.825025995750751	1.40110339695203	1.69111792828303	0.599444860804581	MngRoot	E-Rt1-2-2r
1.00869132043667	0.892737501538047	0.988322924227961	1.10759662975875	0.886223588072825	1.45390000931243	0.792835617135477	MngRhizo	97
1.40924078387259	0.552308240235593	1.29575007326504	1.50716955819102	1.22293133138255	1.56070567626272	0.664241333500882	MngBulk	5-5-2
1.81188797318746	1.99378490320086	1.76682421796801	0.15431074045058	1.46433679213311	1.81195987688843	0.12755003992318	MngRoot	E-Rt180
1.31307768649606	0.991576652010687	1.16193843849723	1.25742652572737	0.967870378770111	1.60601954267461	0.590491249589305	MngRhizo	100
1.46691459551542	1.48103766597388	1.26391681092904	0.815746084882281	1.23296665038862	1.66042726061957	0.519406633340664	MngRoot	E-Rt3-3-2r
1.25173655890226	1.16524564761218	0.528801775292321	1.00456379474267	1.05527856096353	1.64135757933605	0.83254776056412	MngBulk	194
1.54830220950669	1.56740199910675	1.41994158490972	0.618930012020948	1.25579253209646	1.65014085710181	0.430102562198036	MngRoot	E-Rt198
1.52886314546965	1.52454053313809	0.679917231150801	0.586140408826543	1.1792748844764	1.6222169095083	0.252780358637445	MngBulk	89
1.66519344848862	1.69581984719607	1.63363282018626	0.39423711190416	1.37485673120913	1.71623712228665	0.32466309292576	MngRoot	E-Rt199
0.596776474977685	0.512907233813563	0.558970616052372	1.50875702383362	0.578755930976444	1.59858822927615	1.26940491616245	MngBulk	190
1.32623958302557	1.24657238368469	1.13255001276888	0.815146225897136	1.13830955430701	1.59998956114568	0.255680995617991	MngRoot	E-Rt5-3-2r
0.882895337739775	0.737295078854757	0.707439698933991	1.38200237757389	0.801334901019068	1.60140106121145	0.942751151791675	MngRhizo	195
1.73264703070236	1.86770336186116	0.243878449248431	0.0933477292108988	1.36631766301683	1.68923119245595	0.0387543337920573	MngRoot	E-Rt137
1.52006943616718	1.6378257217812	1.47035517785477	0.542857086569648	1.31236659668316	1.7498732046005	0.407893174676843	MngRoot	E-Rt1-1-2r
1.02599510608658	1.16698512350783	0.858301726933971	1.17780027460113	0.954852970415591	1.58500339838804	0.784346340151261	MngRhizo	1-5-2R
0.299187946915363	0.507540456290936	0.3383872888527	1.70237665390097	0.290697998192073	1.70932648640439	1.50441767291511	MngBulk	1-1-2
1.57386801229567	1.58176482922868	1.23502495523244	0.497743409219576	1.29375223237571	1.64427242289796	0.2717371823209	MngRoot	E-Rt136
0.935939193339237	0.568981821774616	0.874400209384065	1.50752843423112	0.808862883337211	1.5448797318013	1.04384651858193	MngBulk	176
1.6700929469341	1.79287732412118	1.4841469738906	0.25337434758133	1.36236416031953	1.72480858955601	0.195532087470133	MngRoot	E-Rt1-4-2r
1.54404245016933	1.56913197226932	0.51198241932035	0.436189838044448	1.24336300922278	1.59738848009476	0.161949946709034	MngRhizo	137
1.17690698789508	1.15759791930926	0.896897597522622	1.09718860031467	0.99464674866116	1.53445759363898	0.601153530403813	MngBulk	1-2-2
1.17099813740925	1.02675652312108	0.936167391155249	1.02390772310792	1.01698344013728	1.59673591044023	0.401949923586541	MngBulk	193
1.02586126721678	0.577639546510313	1.07879029186302	1.40444185350006	0.614043799299634	1.67652896451506	0.664025763367259	MngRhizo	140
1.37671435492536	0.493525336472638	1.49652033032764	1.69426255682323	0.391804546127131	1.86898520759576	0.713191850001876	MngBulk	130
0.659518862119008	0.55252956147939	0.449320838048642	1.5154600805525	0.667970630386209	1.68183088511761	1.29135739357603	MngRhizo	5-4-2R
1.30761700409754	0.699643154397746	1.26343910949549	1.34352929459636	0.935674156304243	1.62012660771704	0.64699477847651	MngRhizo	3-5-2R
1.76812007298361	1.81252256055626	1.56583802136431	1.09971456724519	1.3815686622709	1.65216839971646	0.0944408788538186	MngRoot	E-Rt1-3-2r
1.61153663539996	1.95061835187052	1.67957698394495	0.234481884500447	1.44707827318396	1.76960705730276	0.145818032668495	MngRoot	E-Rt184
1.31153213829356	1.11832021071469	1.21028819368883	1.02789602881279	1.12258017307194	1.61055828071912	0.692084086100796	MngRhizo	196
1.20851620776291	1.17821728680545	1.12055737612639	0.976675505043474	1.04143491451327	1.56772796924082	0.525767779112122	MngRhizo	184
1.28587044625137	1.33887041790766	1.10295654718367	0.96529269420021	1.11540964863362	1.62191845916512	0.622077117637625	MngRhizo	1-4-2R
1.31756547616802	1.43564064500703	1.21239612150624	0.698969561115678	1.1688373392293	1.57014171312019	0.434806668514048	MngRoot	E-Rt97
0.956623795094818	1.03704395488698	0.576886201304803	1.30971195823683	0.850941496128237	1.61470374189344	1.01827638271914	MngBulk	192
1.14503743436909	0.793642884499434	1.12268007767842	1.39647052771101	0.868490344883777	1.60842050460164	0.861960952605285	MngBulk	3-5-2
