Feature ID	Taxon	Confidence
f2a76cabd72e2ac9f13cc12e8a6089ae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__kestanbolensis	0.9241559856532745
6f0f0a9b64dbbc572614de76e026a087	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9998558127450276
b4d11a819f68d250e1e886f23d934d40	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__	0.9615646522097067
b8b49f7fd64fa1a17effd268e8aeaaa5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__	0.9999996371436827
7c978accc54dd2736722491a30ea7a6b	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae	0.9999893714173362
609833a27294d6ba118b5a772248c65d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9999617170159506
1e0c48506b17d7d1d9d130f21271ff6d	k__Bacteria; p__[Thermi]; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__	0.9999999999996732
bb5e1aeb55105cdd29584c17a97fe362	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9995598367277073
92c789c9c6cd459ce141c5aeafc087d2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	0.9982304492394367
f7f2e9b14df77cc7f7e9096c1849a205	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__	0.8712822590454925
d8a21c36a9c111eb361e23c54724cc93	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9736105804608165
d5a02f1371621bdfbf16b385a11f26e1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9663036464503061
2094edae817d8d3a59719340e5b7e609	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Brochothrix; s__	0.9800326674275001
