# Constructed from biom file
#OTU ID	HMP.2.206657	HMP.2.206708	HMP.2.206636	HMP.2.224326	HMP.2.206704	HMP.2.219693	HMP.2.219692	HMP.2.206703	HMP.2.206681	HMP.2.206536	HMP.2.206751	HMP.2.206721	HMP.2.206723	HMP.2.206619	HMP.2.206562	HMP.2.206684	HMP.2.215084	HMP.2.215008	HMP.2.206616	HMP.2.206728	HMP.2.215085	HMP.2.206645	HMP.2.219675	HMP.2.206709	HMP.2.206648	HMP.2.215007	HMP.2.206563	HMP.2.206743	HMP.2.219691	HMP.2.222170	HMP.2.206643	HMP.2.206655	HMP.2.206712	HMP.2.224327	HMP.2.219654	HMP.2.206720	HMP.2.206660	HMP.2.224328	HMP.2.206614	HMP.2.222171	HMP.2.206752	HMP.2.215075	HMP.2.215057	HMP.2.206770	HMP.2.215058	HMP.2.206669	HMP.2.206677	HMP.2.206670	HMP.2.206761	HMP.2.215061	HMP.2.206629	HMP.2.206724	HMP.2.219652	HMP.2.206605	HMP.2.206710	HMP.2.219658	HMP.2.206625	HMP.2.206727	HMP.2.219657	HMP.2.215062	HMP.2.206672	HMP.2.219645	HMP.2.206668	HMP.2.206656	HMP.2.215080	HMP.2.219646	HMP.2.206572	HMP.2.215077	HMP.2.206702	HMP.2.214994	HMP.2.206622	HMP.2.206719	HMP.2.206615	HMP.2.215023	HMP.2.215048	HMP.2.206618	HMP.2.206647	HMP.2.219651	HMP.2.206753	HMP.2.206756	HMP.2.219643	HMP.2.206701	HMP.2.206620	HMP.2.214995	HMP.2.206678	HMP.2.215056	HMP.2.206676	HMP.2.206726	HMP.2.206767	HMP.2.219670	HMP.2.206603	HMP.2.206762	HMP.2.206758	HMP.2.215003	HMP.2.224844	HMP.2.206730	HMP.2.206538	HMP.2.206626	HMP.2.206731	HMP.2.206675	HMP.2.206609	HMP.2.224323	HMP.2.224845	HMP.2.206747	HMP.2.215010	HMP.2.206713	HMP.2.215049	HMP.2.215004	HMP.2.215055	HMP.2.206608	HMP.2.206742	HMP.2.206755	HMP.2.206569	HMP.2.206671	HMP.2.215009	HMP.2.215067	HMP.2.219638	HMP.2.206561	HMP.2.206667	HMP.2.206646	HMP.2.219659	HMP.2.219644	HMP.2.206547	HMP.2.206534	HMP.2.206739	HMP.2.206769	HMP.2.206604	HMP.2.215050	HMP.2.206683	HMP.2.219637	HMP.2.206695	HMP.2.206624	HMP.2.206627	HMP.2.219669	HMP.2.206740	HMP.2.206750	HMP.2.206548	HMP.2.224330	HMP.2.206658	HMP.2.219634	HMP.2.206564	HMP.2.206682	HMP.2.206757	HMP.2.206733	HMP.2.224325	HMP.2.206644	HMP.2.206746	HMP.2.206700	HMP.2.219656	HMP.2.219633	HMP.2.206725	HMP.2.206623	HMP.2.224324	HMP.2.219653	HMP.2.206734	HMP.2.206729	HMP.2.206711	HMP.2.206617	HMP.2.206738	HMP.2.219668	HMP.2.219655	HMP.2.206741	HMP.2.206628	HMP.2.206754	HMP.2.206659	HMP.2.206621	HMP.2.206768	HMP.2.206635	HMP.2.206630	HMP.2.219676	HMP.2.206732	HMP.2.215076	HMP.2.206570	HMP.2.206571	HMP.2.215074	HMP.2.206718	HMP.2.206766	HMP.2.206673
132b62bcbd3f280208e314eeab566a4d	6374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	197.0	0.0	1836.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	329.0	0.0	0.0	544.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	22.0	0.0	421.0	19.0	0.0	0.0	0.0	4.0	2040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	62.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	593.0	59.0	1630.0	411.0	6130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	15.0	3471.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5324.0	0.0	149.0	0.0	0.0	1947.0
d045ab8d2b5c3866f2bd213a6f8f5153	5624.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2605.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c1d1978760d040830d2a5e666ca96fed	2298.0	4.0	0.0	842.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2139.0	0.0	0.0	0.0	0.0	414.0	0.0	0.0	3.0	0.0	1744.0	0.0	0.0	0.0	0.0	0.0	0.0	935.0	0.0	2.0	2652.0	0.0	0.0	1193.0	0.0	376.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1791.0	0.0	185.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	11529.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	290.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1504.0	0.0	0.0	0.0	701.0	492.0	0.0	0.0	1253.0	0.0	1036.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	962.0	0.0	1759.0	1313.0	474.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4093.0	1.0	0.0	603.0	555.0	111.0	0.0	0.0	6.0	2.0	1980.0	1.0	0.0	0.0	0.0	376.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	3608.0	0.0	1010.0	243.0	0.0	0.0	0.0	0.0	0.0	482.0	0.0	980.0	0.0	0.0	9824.0	29.0	0.0
fb7b7089a17247b57ea225fa8071dea2	2166.0	10187.0	6.0	4596.0	3541.0	415.0	29.0	7410.0	160.0	7.0	6634.0	4561.0	3.0	577.0	2498.0	6245.0	2100.0	3694.0	0.0	3604.0	1764.0	0.0	1585.0	16619.0	8706.0	8040.0	2442.0	5612.0	0.0	0.0	0.0	0.0	0.0	8696.0	596.0	4958.0	3110.0	10038.0	574.0	0.0	7111.0	15410.0	6493.0	12134.0	1747.0	0.0	1759.0	9.0	21570.0	151.0	534.0	5067.0	1594.0	2187.0	8909.0	0.0	1058.0	4939.0	2.0	105.0	8.0	7964.0	233.0	0.0	1200.0	4610.0	6514.0	0.0	26.0	0.0	0.0	11.0	2472.0	993.0	2528.0	248.0	5403.0	1740.0	6090.0	11513.0	1401.0	34.0	0.0	0.0	4117.0	3144.0	105.0	15049.0	5374.0	262.0	15212.0	10488.0	21759.0	1109.0	1206.0	25.0	3.0	5.0	500.0	135.0	4344.0	5705.0	4826.0	15050.0	2202.0	0.0	0.0	238.0	6912.0	6408.0	4583.0	10312.0	3767.0	9.0	2996.0	1183.0	1400.0	1257.0	7652.0	2183.0	301.0	614.0	3.0	3.0	0.0	6.0	1338.0	4763.0	4878.0	0.0	197.0	50.0	0.0	166.0	3961.0	7647.0	10.0	13981.0	1102.0	209.0	499.0	33.0	21751.0	8.0	5378.0	0.0	17051.0	5.0	697.0	340.0	11343.0	3.0	8658.0	1337.0	5.0	25.0	8801.0	261.0	0.0	2.0	798.0	5483.0	0.0	9515.0	1377.0	0.0	4.0	2378.0	2918.0	1185.0	502.0	12471.0	3686.0	8802.0	0.0	2.0	12682.0	8069.0
b05e0ac3921452a43cdf05753cbe5542	1308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	74.0	61.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	69.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1337.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	1.0	0.0	0.0	80.0
ceed78d0ecfad4209e3409c1934fa17a	1183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	659.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d7d344513366c1081c5733fed4f61124	937.0	0.0	11.0	914.0	239.0	0.0	0.0	157.0	98.0	23.0	1131.0	791.0	0.0	0.0	1374.0	2475.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	2756.0	0.0	882.0	0.0	0.0	0.0	2.0	167.0	17.0	0.0	0.0	842.0	3.0	0.0	0.0	0.0	1672.0	806.0	1097.0	216.0	470.0	0.0	0.0	0.0	0.0	181.0	83.0	0.0	2218.0	591.0	0.0	0.0	0.0	0.0	2.0	165.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	90.0	0.0	0.0	670.0	502.0	81.0	0.0	290.0	0.0	2437.0	2002.0	2349.0	0.0	1469.0	0.0	0.0	0.0	96.0	0.0	108.0	0.0	341.0	631.0	0.0	0.0	3.0	126.0	745.0	0.0	28.0	0.0	2142.0	161.0	18.0	0.0	2164.0	0.0	511.0	49.0	0.0	10.0	0.0	70.0	0.0	10.0	1171.0	0.0	666.0	669.0	0.0	851.0	0.0	1342.0	0.0	1904.0	0.0	64.0	1374.0	7.0	386.0	376.0	3829.0	0.0	0.0	0.0	0.0	1025.0	53.0	1249.0	1.0	68.0	906.0	34.0	240.0	5.0	0.0	0.0	815.0	0.0	0.0	0.0	769.0	1350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1455.0	0.0	1782.0	282.0	0.0	430.0	2.0	0.0	21.0	1366.0	237.0	0.0	1316.0	540.0	1150.0	0.0	19.0	0.0	1199.0	604.0
ad60003ae43e36c5bafcd2145775a13e	863.0	7265.0	43.0	1204.0	1471.0	570.0	0.0	819.0	159.0	365.0	2152.0	379.0	0.0	0.0	1867.0	2039.0	160.0	1037.0	0.0	14221.0	112.0	0.0	0.0	6429.0	0.0	2878.0	3520.0	904.0	2709.0	108.0	2.0	346.0	623.0	5018.0	3788.0	799.0	5.0	5094.0	0.0	521.0	4415.0	6495.0	1149.0	4733.0	498.0	5.0	1789.0	1797.0	0.0	718.0	362.0	84.0	2487.0	3170.0	7325.0	0.0	96.0	11808.0	2.0	669.0	0.0	0.0	0.0	135.0	331.0	0.0	773.0	110.0	7.0	4.0	287.0	5636.0	0.0	0.0	449.0	0.0	0.0	2425.0	3977.0	1406.0	1918.0	0.0	0.0	17.0	1431.0	536.0	729.0	7787.0	1232.0	2977.0	3099.0	0.0	3.0	390.0	3654.0	4.0	113.0	22.0	1462.0	380.0	1419.0	4590.0	7052.0	7062.0	2765.0	825.0	16.0	44.0	449.0	2632.0	2659.0	1906.0	497.0	0.0	2030.0	1378.0	3255.0	528.0	0.0	1485.0	154.0	0.0	0.0	374.0	5230.0	0.0	1223.0	2469.0	2263.0	4.0	0.0	28.0	0.0	4753.0	2941.0	2324.0	0.0	2108.0	1067.0	1362.0	591.0	70.0	5.0	77.0	950.0	2.0	8548.0	4.0	246.0	2499.0	11076.0	0.0	3363.0	3708.0	208.0	0.0	6100.0	0.0	3818.0	0.0	269.0	2408.0	0.0	2008.0	0.0	0.0	0.0	5370.0	506.0	0.0	860.0	4895.0	836.0	1079.0	16.0	4456.0	3333.0	987.0
d53ebd3eb8b410a189eac20f75c7f65f	812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	302.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	440.0	4.0	494.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	395.0	0.0	284.0	2.0	0.0	0.0	0.0	22.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	215.0	132.0	0.0	0.0	0.0	322.0	0.0	0.0	7.0	485.0	0.0	521.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	564.0	0.0	354.0	604.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	57.0	0.0	0.0	0.0	0.0	9.0	360.0	21.0	0.0	243.0	644.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	370.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	745.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	492.0	19.0	893.0	0.0	57.0	0.0	3.0	53.0
2b2a47ee7bd311b1858c0e34b3d8cb2a	797.0	0.0	0.0	3.0	91.0	0.0	0.0	71.0	0.0	73.0	30.0	2620.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	145.0	0.0	86.0	0.0	56.0	0.0	0.0	0.0	2124.0	303.0	0.0	0.0	117.0	458.0	0.0	7.0	0.0	8.0	0.0	0.0	0.0	0.0	98.0	0.0	2.0	62.0	10.0	53.0	0.0	0.0	1.0	0.0	80.0	0.0	0.0	0.0	40.0	388.0	0.0	0.0	0.0	0.0	0.0	101.0	3.0	0.0	8.0	0.0	0.0	71.0	43.0	422.0	4.0	23.0	0.0	0.0	0.0	0.0	0.0	101.0	89.0	0.0	6.0	0.0	0.0	0.0	22.0	113.0	0.0	35.0	0.0	4.0	80.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.0	2.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	172.0	0.0	10.0	0.0	25.0	94.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	38.0	0.0	15.0	495.0	40.0	0.0	0.0	0.0	4.0	11.0	3.0	0.0	0.0	20.0	109.0	77.0	0.0	0.0	0.0	2.0	0.0	30.0	0.0	111.0	0.0	4.0	0.0	0.0	9.0	265.0	11.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
