	mean_EC
EC:1.1.3.12	0.0025
EC:1.1.3.15	0.6156
EC:1.1.3.17	0.00915
EC:1.1.3.20	5e-05
EC:1.1.3.21	0.06335
EC:1.1.3.37	3e-04
EC:1.1.3.41	0.0479
EC:1.1.3.43	0.00295
EC:1.1.3.44	0.00295
EC:1.1.3.45	0.00625
EC:1.1.3.46	0.0535
EC:1.1.3.47	0.02105
EC:1.1.3.48	0.0214
EC:1.1.3.6	0.2193
EC:1.1.3.8	0.04195
EC:1.1.3.9	0.01055
EC:1.1.5.2	0.3495
EC:1.1.5.3	1.48755
EC:1.1.5.4	0.5277
EC:1.1.5.6	0.22655
EC:1.1.5.8	0.1115
EC:1.1.5.9	0.00015
EC:1.1.9.1	0.04195
EC:1.1.98.2	0.04485
EC:1.1.98.3	0.06175
EC:1.1.99.1	0.68875
EC:1.1.99.18	1e-04
EC:1.1.99.2	0.00135
EC:1.1.99.21	0.0563
EC:1.1.99.24	8e-04
EC:1.1.99.28	0.02945
EC:1.1.99.3	0.23765
EC:1.1.99.31	0.0337
EC:1.1.99.38	0.00085
EC:1.10.2.2	0.31615
EC:1.10.3.1	4e-04
EC:1.10.3.11	0.01735
EC:1.10.3.12	0.27935
EC:1.10.3.2	5e-05
EC:1.10.3.3	0.00775
EC:1.10.5.1	2e-04
EC:1.10.9.1	0.045
EC:1.11.1.1	0.04015
EC:1.11.1.10	0.3194
EC:1.11.1.15	2.60995
EC:1.11.1.19	0.06535
EC:1.11.1.20	5e-05
EC:1.11.1.21	0.5225
EC:1.11.1.23	1e-04
EC:1.11.1.5	0.56675
EC:1.11.1.6	1.09335
EC:1.11.1.7	0.00255
EC:1.11.1.9	0.98595
EC:1.11.2.3	0.00025
EC:1.11.2.4	0.0669
EC:1.12.1.2	0.0745
EC:1.12.1.3	0.1605
EC:1.12.1.4	0.00545
EC:1.12.1.5	0.00755
EC:1.12.2.1	0.0144
EC:1.12.5.1	0.07545
EC:1.12.7.2	0.0651
EC:1.12.98.1	0.07205
EC:1.12.98.2	0.0024
EC:1.12.98.4	0.008
EC:1.12.99.6	0.6664
EC:1.13.11.1	0.19955
EC:1.13.11.11	0.23275
EC:1.13.11.12	1e-04
EC:1.13.11.14	0.01255
EC:1.13.11.15	0.13235
EC:1.13.11.16	0.11205
EC:1.13.11.18	0.00025
EC:1.13.11.19	0.00015
EC:1.13.11.2	0.3822
EC:1.13.11.20	0.0158
EC:1.13.11.24	0.01495
EC:1.13.11.25	0.05365
EC:1.13.11.27	0.49485
EC:1.13.11.3	0.4406
EC:1.13.11.33	0.0137
EC:1.13.11.34	0.00135
EC:1.13.11.37	0.04365
EC:1.13.11.38	0.00125
EC:1.13.11.39	0.00545
EC:1.13.11.4	0.1454
EC:1.13.11.41	0.0163
EC:1.13.11.46	0.014
EC:1.13.11.49	0.2196
EC:1.13.11.5	0.3087
EC:1.13.11.52	0.0045
EC:1.13.11.53	0.19855
EC:1.13.11.54	0.19855
EC:1.13.11.55	0.00215
EC:1.13.11.56	0.00095
EC:1.13.11.57	0.03695
EC:1.13.11.58	1e-04
EC:1.13.11.59	5e-05
EC:1.13.11.6	0.0695
EC:1.13.11.61	4e-04
EC:1.13.11.63	0.00115
EC:1.13.11.66	0.00175
EC:1.13.11.71	1e-04
EC:1.13.11.72	0.00065
EC:1.13.11.73	7e-04
EC:1.13.11.74	0.00225
EC:1.13.11.75	0.0246
EC:1.13.11.76	0.00225
EC:1.13.11.79	0.1918
EC:1.13.11.8	0.09885
EC:1.13.11.80	0.0078
EC:1.13.11.9	0.0451
EC:1.13.12.16	0.8294
EC:1.13.12.21	2e-04
EC:1.13.12.22	0.0017
EC:1.13.12.3	0.07295
EC:1.13.12.4	0.0223
EC:1.13.99.1	0.01355
EC:1.14.11.1	0.0525
EC:1.14.11.16	0.02145
EC:1.14.11.17	0.5456
EC:1.14.11.18	0.0399
EC:1.14.11.19	0.00015
EC:1.14.11.2	0.0832
EC:1.14.11.21	0.00105
EC:1.14.11.23	2e-04
EC:1.14.11.26	0.00065
EC:1.14.11.27	0.0063
EC:1.14.11.30	6e-04
EC:1.14.11.33	0.28
EC:1.14.11.35	9e-04
EC:1.14.11.36	7e-04
EC:1.14.11.39	0.01045
EC:1.14.11.4	3e-04
EC:1.14.11.42	5e-05
EC:1.14.11.47	0.36825
EC:1.14.11.8	0.0019
EC:1.14.11.9	5e-05
EC:1.14.12.1	0.1259
EC:1.14.12.10	0.22415
EC:1.14.12.11	0.0021
EC:1.14.12.12	0.0032
EC:1.14.12.13	0.0011
EC:1.14.12.14	0.00015
EC:1.14.12.15	0.00395
EC:1.14.12.17	0.4858
EC:1.14.12.18	0.00945
EC:1.14.12.19	0.11715
EC:1.14.12.22	0.00265
EC:1.14.12.3	0.0021
EC:1.14.12.4	0.002
EC:1.14.12.7	0.00835
EC:1.14.13.1	0.22965
EC:1.14.13.10	0.00525
EC:1.14.13.100	1e-04
EC:1.14.13.106	0.0056
EC:1.14.13.107	0.041
EC:1.14.13.111	0.00425
EC:1.14.13.113	0.0662
EC:1.14.13.114	0.0262
EC:1.14.13.12	0.00025
EC:1.14.13.122	0.00025
EC:1.14.13.127	0.33015
EC:1.14.13.129	0.07365
EC:1.14.13.131	0.0016
EC:1.14.13.133	0.01635
EC:1.14.13.141	0.08375
EC:1.14.13.142	0.1518
EC:1.14.13.148	0.03855
EC:1.14.13.149	0.4875
EC:1.14.13.151	0.00335
EC:1.14.13.154	5e-04
EC:1.14.13.159	1e-04
EC:1.14.13.163	0.0064
EC:1.14.13.165	0.09925
EC:1.14.13.168	0.00025
EC:1.14.13.17	5e-05
EC:1.14.13.170	0.0013
EC:1.14.13.171	0.0013
EC:1.14.13.172	0.0336
EC:1.14.13.180	0.0017
EC:1.14.13.181	0.00035
EC:1.14.13.182	0.00115
EC:1.14.13.185	0.0013
EC:1.14.13.186	0.00025
EC:1.14.13.188	5e-04
EC:1.14.13.2	0.23025
EC:1.14.13.20	0.0395
EC:1.14.13.200	0.00635
EC:1.14.13.22	0.1136
EC:1.14.13.23	0.00125
EC:1.14.13.25	0.0082
EC:1.14.13.38	9e-04
EC:1.14.13.40	0.09165
EC:1.14.13.48	0.00085
EC:1.14.13.49	0.00085
EC:1.14.13.50	0.0136
EC:1.14.13.59	0.19735
EC:1.14.13.7	0.0427
EC:1.14.13.70	0.0297
EC:1.14.13.72	9e-04
EC:1.14.13.8	0.00435
EC:1.14.13.81	0.0486
