	mean_EC
EC:2.1.1.207	0.8005
EC:2.1.1.210	0.01955
EC:2.1.1.213	0.0201
EC:2.1.1.215	0.02695
EC:2.1.1.216	0.02695
EC:2.1.1.217	0.27875
EC:2.1.1.218	0.0052
EC:2.1.1.219	0.154
EC:2.1.1.22	5e-05
EC:2.1.1.220	0.154
EC:2.1.1.221	0.0052
EC:2.1.1.222	0.5409
EC:2.1.1.223	0.28175
EC:2.1.1.224	0.0102
EC:2.1.1.226	0.4973
EC:2.1.1.227	0.4973
EC:2.1.1.228	1.002
EC:2.1.1.229	0.00035
EC:2.1.1.234	0.00785
EC:2.1.1.235	0.0059
EC:2.1.1.239	1e-04
EC:2.1.1.242	0.30105
EC:2.1.1.243	0.0053
EC:2.1.1.245	0.05075
EC:2.1.1.246	0.02805
EC:2.1.1.247	0.0026
EC:2.1.1.248	0.01095
EC:2.1.1.249	0.0125
EC:2.1.1.250	0.1354
EC:2.1.1.251	0.00085
EC:2.1.1.254	0.0016
EC:2.1.1.255	0.018
EC:2.1.1.256	0.00555
EC:2.1.1.257	0.0361
EC:2.1.1.258	0.0171
EC:2.1.1.260	0.00875
EC:2.1.1.264	0.3039
EC:2.1.1.265	0.20605
EC:2.1.1.266	0.42165
EC:2.1.1.268	0.00035
EC:2.1.1.269	0.0113
EC:2.1.1.271	0.3647
EC:2.1.1.28	1e-04
EC:2.1.1.282	0.0068
EC:2.1.1.284	5e-05
EC:2.1.1.285	0.0012
EC:2.1.1.288	0.00245
EC:2.1.1.289	0.1085
EC:2.1.1.292	0.00075
EC:2.1.1.294	0.03035
EC:2.1.1.295	0.0117
EC:2.1.1.297	1.1163
EC:2.1.1.298	0.36735
EC:2.1.1.305	0.001
EC:2.1.1.306	5e-05
EC:2.1.1.307	0.0036
EC:2.1.1.309	5e-05
EC:2.1.1.313	0.00015
EC:2.1.1.33	0.9255
EC:2.1.1.34	0.2499
EC:2.1.1.35	0.31095
EC:2.1.1.37	1.1665
EC:2.1.1.4	0.00685
EC:2.1.1.41	0.0015
EC:2.1.1.43	0.00455
EC:2.1.1.44	0.06625
EC:2.1.1.45	0.88745
EC:2.1.1.49	1e-04
EC:2.1.1.5	0.008
EC:2.1.1.57	1e-04
EC:2.1.1.6	0.01655
EC:2.1.1.61	0.34875
EC:2.1.1.63	1.53795
EC:2.1.1.64	0.5409
EC:2.1.1.67	0.12775
EC:2.1.1.71	0.09355
EC:2.1.1.72	3.2434
EC:2.1.1.74	0.29695
EC:2.1.1.77	0.7968
EC:2.1.1.79	1.0579
EC:2.1.1.80	1.04455
EC:2.1.1.86	0.06395
EC:2.1.1.90	0.0103
EC:2.1.1.95	0.0153
EC:2.1.1.96	1e-04
EC:2.1.1.98	0.02115
EC:2.1.2.1	1.22815
EC:2.1.2.10	0.8956
EC:2.1.2.11	0.85585
EC:2.1.2.13	0.1726
EC:2.1.2.2	1.3595
EC:2.1.2.3	0.9929
EC:2.1.2.5	0.0669
EC:2.1.2.9	1.11935
EC:2.1.3.1	0.03595
EC:2.1.3.11	0.05185
EC:2.1.3.12	0.00125
EC:2.1.3.2	1.01175
EC:2.1.3.3	0.95635
EC:2.1.3.6	0.0249
EC:2.1.3.7	0.00825
EC:2.1.3.9	0.0197
EC:2.1.4.1	0.0365
EC:2.1.4.2	0.00225
EC:2.10.1.1	1.09235
EC:2.2.1.1	2.18735
EC:2.2.1.10	0.02785
EC:2.2.1.11	0.0059
EC:2.2.1.2	1.14005
EC:2.2.1.6	3.41515
EC:2.2.1.7	0.9362
EC:2.2.1.8	0.00135
EC:2.2.1.9	0.46505
EC:2.3.1.1	1.10955
EC:2.3.1.101	0.0326
EC:2.3.1.102	0.05285
EC:2.3.1.109	0.3961
EC:2.3.1.111	0.0083
EC:2.3.1.117	0.76915
EC:2.3.1.118	0.3511
EC:2.3.1.12	1.2514
EC:2.3.1.122	0.10355
EC:2.3.1.128	2.0004
EC:2.3.1.129	0.6325
EC:2.3.1.133	0.00075
EC:2.3.1.137	5e-05
EC:2.3.1.15	1.89045
EC:2.3.1.157	0.93375
EC:2.3.1.159	5e-05
EC:2.3.1.16	1.00555
EC:2.3.1.164	0.00015
EC:2.3.1.165	0.0082
EC:2.3.1.168	0.1947
EC:2.3.1.169	0.0176
EC:2.3.1.174	0.1386
EC:2.3.1.176	4e-04
EC:2.3.1.178	0.10145
EC:2.3.1.179	1.4729
EC:2.3.1.18	0.1657
EC:2.3.1.180	1.56005
EC:2.3.1.181	0.6783
EC:2.3.1.182	0.0551
EC:2.3.1.183	0.8407
EC:2.3.1.184	0.14135
EC:2.3.1.187	0.1436
EC:2.3.1.189	0.1019
EC:2.3.1.19	0.15735
EC:2.3.1.191	0.677
EC:2.3.1.193	0.2211
EC:2.3.1.20	0.15155
EC:2.3.1.200	0.0047
EC:2.3.1.201	0.06635
EC:2.3.1.202	0.0244
EC:2.3.1.203	0.01145
EC:2.3.1.204	0.10965
EC:2.3.1.207	0.10945
EC:2.3.1.21	5e-04
EC:2.3.1.210	0.1526
EC:2.3.1.222	0.06685
EC:2.3.1.223	0.0809
EC:2.3.1.225	0.00035
EC:2.3.1.226	0.00285
EC:2.3.1.227	0.00195
EC:2.3.1.228	0.02905
EC:2.3.1.229	0.02905
EC:2.3.1.230	0.00315
EC:2.3.1.233	0.01245
EC:2.3.1.234	1.0535
EC:2.3.1.235	0.02515
EC:2.3.1.239	0.0039
EC:2.3.1.24	5e-05
EC:2.3.1.240	0.0042
EC:2.3.1.241	0.9116
EC:2.3.1.242	0.14705
EC:2.3.1.243	0.1982
EC:2.3.1.28	0.28245
EC:2.3.1.29	0.5812
EC:2.3.1.30	1.1438
EC:2.3.1.31	0.5363
EC:2.3.1.35	0.5643
EC:2.3.1.36	5e-05
EC:2.3.1.37	0.13135
EC:2.3.1.39	1.1779
EC:2.3.1.4	0.00495
EC:2.3.1.40	0.2336
EC:2.3.1.41	0.6489
EC:2.3.1.42	6e-04
EC:2.3.1.43	5e-05
EC:2.3.1.46	0.4411
EC:2.3.1.47	0.77235
EC:2.3.1.48	0.0264
EC:2.3.1.5	0.0133
EC:2.3.1.50	0.002
EC:2.3.1.51	1.51905
EC:2.3.1.54	0.9639
EC:2.3.1.57	0.48615
EC:2.3.1.59	0.0278
EC:2.3.1.60	0.01225
EC:2.3.1.61	0.84285
EC:2.3.1.65	1e-04
EC:2.3.1.7	0.0181
EC:2.3.1.74	0.00045
EC:2.3.1.75	5e-05
EC:2.3.1.76	5e-05
EC:2.3.1.79	0.65725
EC:2.3.1.8	0.87915
EC:2.3.1.81	0.12075
EC:2.3.1.82	0.2158
EC:2.3.1.85	5e-05
EC:2.3.1.86	0.00105
EC:2.3.1.88	4e-04
EC:2.3.1.89	0.1262
EC:2.3.1.9	2.58125
EC:2.3.1.94	0.00225
EC:2.3.1.97	1e-04
EC:2.3.2.10	0.0516
EC:2.3.2.13	0.0443
EC:2.3.2.15	4e-04
EC:2.3.2.16	0.03475
EC:2.3.2.17	0.0121
EC:2.3.2.18	0.00995
EC:2.3.2.19	0.00015
EC:2.3.2.2	1.19685
EC:2.3.2.21	0.0135
EC:2.3.2.22	0.00485
EC:2.3.2.23	0.00085
EC:2.3.2.24	5e-05
EC:2.3.2.26	0.00115
EC:2.3.2.27	0.00355
EC:2.3.2.28	0.0015
EC:2.3.2.3	0.26575
EC:2.3.2.4	8e-04
EC:2.3.2.5	0.0216
EC:2.3.2.6	0.53075
EC:2.3.2.8	0.2859
EC:2.3.3.1	1.2507
EC:2.3.3.10	0.1888
EC:2.3.3.13	1.251
EC:2.3.3.14	0.09615
EC:2.3.3.15	0.0494
EC:2.3.3.5	0.3089
EC:2.3.3.8	0.0072
EC:2.3.3.9	0.6695
EC:2.4.1.1	0.924
EC:2.4.1.10	0.07175
EC:2.4.1.109	0.00135
EC:2.4.1.11	0.05575
EC:2.4.1.115	0.00015
EC:2.4.1.117	0.00925
EC:2.4.1.12	0.37735
EC:2.4.1.129	0.6117
EC:2.4.1.13	0.0128
EC:2.4.1.132	5e-05
EC:2.4.1.133	1e-04
EC:2.4.1.14	0.0386
EC:2.4.1.141	0.002
EC:2.4.1.144	0.014
EC:2.4.1.15	0.45075
EC:2.4.1.16	0.00015
EC:2.4.1.161	0.01135
EC:2.4.1.166	0.00245
EC:2.4.1.17	5e-05
EC:2.4.1.173	0.0191
EC:2.4.1.175	0.00215
EC:2.4.1.18	0.8406
EC:2.4.1.180	0.15265
EC:2.4.1.182	0.6078
EC:2.4.1.183	5e-05
EC:2.4.1.186	4e-04
EC:2.4.1.187	0.3154
EC:2.4.1.19	0.00945
EC:2.4.1.198	1e-04
EC:2.4.1.20	0.0355
EC:2.4.1.208	0.05065
EC:2.4.1.21	0.74745
EC:2.4.1.211	0.03135
EC:2.4.1.212	0.0387
EC:2.4.1.213	0.0106
EC:2.4.1.216	0.00235
EC:2.4.1.217	0.00475
EC:2.4.1.22	0.00025
EC:2.4.1.221	5e-05
EC:2.4.1.226	0.00215
EC:2.4.1.227	1.02085
EC:2.4.1.229	1e-04
EC:2.4.1.230	0.02105
EC:2.4.1.232	5e-05
EC:2.4.1.241	4e-04
EC:2.4.1.242	0.00035
EC:2.4.1.245	0.02485
EC:2.4.1.246	0.0051
EC:2.4.1.247	0.00395
EC:2.4.1.25	0.60425
EC:2.4.1.250	0.10055
EC:2.4.1.251	0.0074
EC:2.4.1.252	0.01875
EC:2.4.1.255	0.0012
EC:2.4.1.256	8e-04
EC:2.4.1.257	5e-05
EC:2.4.1.264	0.0101
EC:2.4.1.266	0.12615
EC:2.4.1.269	0.00025
EC:2.4.1.276	0.00865
EC:2.4.1.277	0.00605
EC:2.4.1.278	0.0015
EC:2.4.1.279	0.00095
EC:2.4.1.280	0.0301
EC:2.4.1.281	0.03655
EC:2.4.1.282	1e-04
EC:2.4.1.283	0.00185
EC:2.4.1.284	0.00185
EC:2.4.1.285	2e-04
EC:2.4.1.287	0.0508
EC:2.4.1.288	0.07905
EC:2.4.1.289	0.0578
EC:2.4.1.290	0.0092
EC:2.4.1.291	0.02035
EC:2.4.1.292	0.01265
EC:2.4.1.293	0.00685
EC:2.4.1.302	0.0015
EC:2.4.1.303	0.00045
EC:2.4.1.310	0.02085
EC:2.4.1.311	0.00055
EC:2.4.1.315	0.1483
EC:2.4.1.316	0.00125
EC:2.4.1.317	0.001
EC:2.4.1.318	0.00075
EC:2.4.1.319	0.04645
EC:2.4.1.320	0.04645
EC:2.4.1.321	0.01185
EC:2.4.1.322	0.00065
EC:2.4.1.325	0.1468
EC:2.4.1.326	0.00115
EC:2.4.1.327	0.00685
EC:2.4.1.328	3e-04
EC:2.4.1.331	4e-04
EC:2.4.1.34	2e-04
EC:2.4.1.37	0.00035
EC:2.4.1.38	0.00035
EC:2.4.1.4	0.057
EC:2.4.1.40	0.00035
EC:2.4.1.44	0.05155
EC:2.4.1.46	0.00545
EC:2.4.1.5	0.0256
EC:2.4.1.50	7e-04
EC:2.4.1.52	0.1448
EC:2.4.1.56	0.0492
EC:2.4.1.57	0.0966
EC:2.4.1.58	0.1006
EC:2.4.1.60	0.01385
EC:2.4.1.64	0.0926
EC:2.4.1.66	1e-04
EC:2.4.1.7	0.2128
EC:2.4.1.8	0.1177
EC:2.4.1.80	0.08
EC:2.4.1.82	1e-04
EC:2.4.1.83	0.5782
EC:2.4.1.87	0.0017
EC:2.4.1.90	0.00035
EC:2.4.2.1	0.9294
EC:2.4.2.10	1.03605
EC:2.4.2.12	0.07885
EC:2.4.2.14	1.0259
EC:2.4.2.17	0.8398
EC:2.4.2.18	0.92895
EC:2.4.2.19	0.7914
EC:2.4.2.2	0.23825
EC:2.4.2.21	0.5855
EC:2.4.2.22	0.5976
EC:2.4.2.26	9e-04
EC:2.4.2.27	3e-04
EC:2.4.2.28	0.2162
EC:2.4.2.29	0.92245
EC:2.4.2.3	0.3739
EC:2.4.2.30	0.00445
EC:2.4.2.31	0.00015
EC:2.4.2.36	0.0052
EC:2.4.2.37	0.01475
EC:2.4.2.4	0.4028
EC:2.4.2.43	0.1801
EC:2.4.2.44	0.0528
EC:2.4.2.45	0.0535
EC:2.4.2.46	0.04125
EC:2.4.2.47	0.0415
EC:2.4.2.48	0.0226
EC:2.4.2.49	2e-04
EC:2.4.2.52	0.3993
EC:2.4.2.53	0.2232
EC:2.4.2.54	0.0212
EC:2.4.2.57	0.0096
EC:2.4.2.6	0.0306
EC:2.4.2.7	0.9321
EC:2.4.2.8	0.89285
EC:2.4.2.9	1.4451
EC:2.4.99.1	0.0024
EC:2.4.99.12	0.59985
EC:2.4.99.13	0.59985
EC:2.4.99.14	0.59985
EC:2.4.99.15	0.59985
EC:2.4.99.16	0.22325
EC:2.4.99.17	0.9039
EC:2.4.99.18	0.0421
EC:2.4.99.19	0.0104
EC:2.5.1.1	1.1927
EC:2.5.1.10	1.19265
EC:2.5.1.101	0.0576
EC:2.5.1.105	0.15905
EC:2.5.1.108	0.02145
EC:2.5.1.111	3e-04
EC:2.5.1.114	0.01435
EC:2.5.1.115	0.00965
EC:2.5.1.116	0.00965
EC:2.5.1.117	8e-04
EC:2.5.1.120	0.1049
EC:2.5.1.15	1.10955
EC:2.5.1.16	0.6413
EC:2.5.1.17	1.18315
EC:2.5.1.18	2.402
EC:2.5.1.19	1.0336
EC:2.5.1.2	0.00965
EC:2.5.1.21	0.0608
EC:2.5.1.22	0.00045
EC:2.5.1.26	0.1289
EC:2.5.1.29	0.7622
EC:2.5.1.3	1.13265
EC:2.5.1.30	0.48305
EC:2.5.1.31	1.00905
EC:2.5.1.32	0.38245
EC:2.5.1.38	0.00075
EC:2.5.1.39	0.7095
EC:2.5.1.41	0.0258
EC:2.5.1.42	0.02865
EC:2.5.1.43	0.0021
EC:2.5.1.44	0.05705
EC:2.5.1.46	0.1038
EC:2.5.1.47	1.93945
EC:2.5.1.48	0.6185
EC:2.5.1.49	0.772
EC:2.5.1.54	1.654
EC:2.5.1.55	0.59925
EC:2.5.1.56	0.2422
EC:2.5.1.57	0.008
EC:2.5.1.6	1.0821
EC:2.5.1.60	0.00155
EC:2.5.1.61	0.84725
EC:2.5.1.62	0.0398
EC:2.5.1.65	0.00075
EC:2.5.1.66	0.00135
EC:2.5.1.68	0.1205
EC:2.5.1.7	1.2624
EC:2.5.1.72	0.74165
EC:2.5.1.73	0.008
EC:2.5.1.74	0.57745
EC:2.5.1.75	1.0125
EC:2.5.1.76	0.0077
EC:2.5.1.77	0.05015
EC:2.5.1.78	0.9779
EC:2.5.1.79	0.00025
EC:2.5.1.82	1e-04
EC:2.5.1.83	1e-04
EC:2.5.1.84	0.0137
EC:2.5.1.85	0.0137
EC:2.5.1.86	0.01545
EC:2.5.1.87	0.00015
EC:2.5.1.89	0.02175
EC:2.5.1.9	0.93845
EC:2.5.1.90	0.6078
EC:2.5.1.91	5e-05
EC:2.5.1.96	0.01345
EC:2.5.1.97	0.053
EC:2.6.1.1	0.97615
EC:2.6.1.100	0.00515
EC:2.6.1.101	0.00515
EC:2.6.1.102	0.0887
EC:2.6.1.103	0.02115
EC:2.6.1.104	0.0154
EC:2.6.1.105	0.0114
EC:2.6.1.106	0.0026
EC:2.6.1.109	0.0208
EC:2.6.1.11	0.91895
EC:2.6.1.13	0.29105
EC:2.6.1.16	1.2504
EC:2.6.1.17	0.75715
EC:2.6.1.18	0.20695
EC:2.6.1.19	0.7544
EC:2.6.1.2	0.505
EC:2.6.1.21	0.2661
EC:2.6.1.22	0.3536
EC:2.6.1.30	0.0033
EC:2.6.1.33	0.0029
EC:2.6.1.34	0.00835
EC:2.6.1.36	0.0441
EC:2.6.1.37	0.22475
EC:2.6.1.4	1e-04
EC:2.6.1.40	0.0022
EC:2.6.1.42	1.2835
EC:2.6.1.44	0.1796
EC:2.6.1.45	0.1773
EC:2.6.1.46	0.0019
EC:2.6.1.48	0.0369
EC:2.6.1.50	0.00175
EC:2.6.1.51	0.1773
EC:2.6.1.52	0.804
EC:2.6.1.55	0.10635
EC:2.6.1.57	0.4624
EC:2.6.1.59	0.21825
EC:2.6.1.62	0.6551
EC:2.6.1.64	0.00025
EC:2.6.1.66	0.7113
EC:2.6.1.7	0.00025
EC:2.6.1.76	0.33905
EC:2.6.1.77	0.02555
EC:2.6.1.78	8e-04
EC:2.6.1.79	8e-04
EC:2.6.1.81	0.181
EC:2.6.1.82	0.17295
EC:2.6.1.83	0.1464
EC:2.6.1.84	0.0593
EC:2.6.1.85	1.2159
EC:2.6.1.86	0.0507
EC:2.6.1.87	0.15915
EC:2.6.1.9	1.46135
EC:2.6.1.92	0.0263
EC:2.6.1.93	0.0033
EC:2.6.1.94	0.0033
EC:2.6.1.95	0.0033
EC:2.6.1.96	0.0538
EC:2.6.1.97	0.0161
EC:2.6.1.98	0.04485
EC:2.6.99.2	0.5716
EC:2.6.99.3	0.00095
EC:2.7.1.1	0.0144
EC:2.7.1.100	0.16745
EC:2.7.1.105	5e-05
EC:2.7.1.107	0.8458
EC:2.7.1.11	1.16605
EC:2.7.1.113	0.0779
EC:2.7.1.119	0.01195
EC:2.7.1.12	0.72395
EC:2.7.1.13	0.02405
EC:2.7.1.130	0.58305
EC:2.7.1.137	1e-04
EC:2.7.1.14	0.00395
EC:2.7.1.144	0.17215
EC:2.7.1.145	2e-04
EC:2.7.1.146	0.01565
EC:2.7.1.147	0.01585
EC:2.7.1.148	0.88495
EC:2.7.1.15	0.97575
EC:2.7.1.150	5e-05
EC:2.7.1.154	1e-04
EC:2.7.1.156	0.53585
EC:2.7.1.157	0.00065
EC:2.7.1.16	0.27975
EC:2.7.1.161	0.02195
EC:2.7.1.162	0.0073
EC:2.7.1.163	0.00705
EC:2.7.1.164	0.0011
EC:2.7.1.165	0.015
EC:2.7.1.166	0.07455
EC:2.7.1.167	0.3442
EC:2.7.1.168	0.0704
EC:2.7.1.169	0.02135
EC:2.7.1.17	0.8298
EC:2.7.1.170	0.5494
EC:2.7.1.174	0.00035
EC:2.7.1.175	0.06815
EC:2.7.1.176	0.037
EC:2.7.1.177	0.08745
EC:2.7.1.178	0.00225
EC:2.7.1.179	0.0049
EC:2.7.1.181	0.03035
EC:2.7.1.182	0.02245
EC:2.7.1.184	0.1318
EC:2.7.1.185	4e-04
EC:2.7.1.186	4e-04
EC:2.7.1.19	0.26625
EC:2.7.1.2	1.24555
EC:2.7.1.20	0.1553
EC:2.7.1.21	0.6341
EC:2.7.1.22	0.16445
EC:2.7.1.23	1.07125
EC:2.7.1.24	0.97675
EC:2.7.1.25	0.66025
EC:2.7.1.26	0.99775
EC:2.7.1.27	0.02775
EC:2.7.1.29	0.2314
EC:2.7.1.3	0.0054
EC:2.7.1.30	1.0161
EC:2.7.1.31	0.9611
EC:2.7.1.33	1.0883
EC:2.7.1.35	0.7465
EC:2.7.1.36	0.2101
EC:2.7.1.37	0.00595
EC:2.7.1.39	0.9449
EC:2.7.1.4	1.10255
EC:2.7.1.40	1.2964
EC:2.7.1.41	0.00025
EC:2.7.1.43	0.003
EC:2.7.1.44	0.00175
EC:2.7.1.45	0.7889
EC:2.7.1.46	0.00125
EC:2.7.1.47	0.0195
EC:2.7.1.48	0.6974
EC:2.7.1.49	0.9748
EC:2.7.1.5	0.28865
EC:2.7.1.50	0.508
EC:2.7.1.51	0.13765
EC:2.7.1.52	0.0013
EC:2.7.1.53	0.17115
EC:2.7.1.55	0.0474
EC:2.7.1.56	0.6273
EC:2.7.1.58	0.29665
EC:2.7.1.59	0.21745
EC:2.7.1.6	0.5792
EC:2.7.1.60	0.13975
EC:2.7.1.63	0.1695
EC:2.7.1.64	0.00035
EC:2.7.1.65	0.00125
EC:2.7.1.66	0.16135
EC:2.7.1.68	0.00055
EC:2.7.1.69	4.07625
EC:2.7.1.71	1.1545
EC:2.7.1.72	0.177
EC:2.7.1.73	0.1984
EC:2.7.1.74	0.0772
EC:2.7.1.76	0.0838
EC:2.7.1.78	2e-04
EC:2.7.1.8	0.1177
EC:2.7.1.81	5e-05
EC:2.7.1.83	0.1698
EC:2.7.1.85	0.032
EC:2.7.1.87	0.04315
EC:2.7.1.89	0.1494
EC:2.7.1.90	0.06785
EC:2.7.1.91	0.00075
EC:2.7.1.92	0.26275
EC:2.7.1.95	0.1012
EC:2.7.10.1	0.02965
EC:2.7.10.2	0.02085
EC:2.7.11.1	2.8639
EC:2.7.11.11	6e-04
EC:2.7.11.12	0.00075
EC:2.7.11.16	5e-05
EC:2.7.11.17	0.00075
EC:2.7.11.22	0.00045
EC:2.7.11.23	0.00025
EC:2.7.11.24	0.00035
EC:2.7.11.25	1e-04
EC:2.7.11.26	1e-04
EC:2.7.11.5	0.246
EC:2.7.12.1	5e-04
EC:2.7.12.2	5e-05
EC:2.7.13.1	0.02145
EC:2.7.13.3	7.6324
EC:2.7.14.1	0.13575
EC:2.7.2.1	0.94515
EC:2.7.2.11	0.87655
EC:2.7.2.15	0.1738
EC:2.7.2.2	0.6315
EC:2.7.2.3	1.00825
EC:2.7.2.4	1.76945
EC:2.7.2.7	0.13375
EC:2.7.2.8	0.84025
EC:2.7.3.2	0.00185
EC:2.7.3.3	0.00085
EC:2.7.3.9	1.04625
EC:2.7.4.1	0.8066
EC:2.7.4.14	0.9572
EC:2.7.4.16	0.69075
EC:2.7.4.2	0.1434
EC:2.7.4.22	1.0135
EC:2.7.4.23	0.21515
EC:2.7.4.26	0.0226
EC:2.7.4.3	1.07945
EC:2.7.4.6	0.9067
EC:2.7.4.7	0.9748
EC:2.7.4.8	1.03805
EC:2.7.4.9	0.9657
EC:2.7.6.1	1.2473
EC:2.7.6.2	0.37195
EC:2.7.6.3	1.0595
EC:2.7.6.5	1.4591
EC:2.7.7.1	0.2455
EC:2.7.7.12	0.5366
EC:2.7.7.13	1.0376
EC:2.7.7.14	0.001
EC:2.7.7.15	0.0259
EC:2.7.7.18	0.9653
EC:2.7.7.19	0.67515
EC:2.7.7.2	0.99715
EC:2.7.7.23	0.9824
EC:2.7.7.24	1.02385
EC:2.7.7.27	0.79015
EC:2.7.7.3	0.9952
EC:2.7.7.30	1e-04
EC:2.7.7.33	0.20515
EC:2.7.7.38	0.6311
EC:2.7.7.39	0.2019
EC:2.7.7.4	1.46775
EC:2.7.7.41	1.14785
EC:2.7.7.42	0.57815
EC:2.7.7.43	0.20945
EC:2.7.7.46	0.00395
EC:2.7.7.47	0.14035
EC:2.7.7.48	1e-04
EC:2.7.7.49	0.26175
EC:2.7.7.52	5e-05
EC:2.7.7.53	0.18245
EC:2.7.7.56	0.6712
EC:2.7.7.58	0.248
EC:2.7.7.59	0.5601
EC:2.7.7.6	4.10735
EC:2.7.7.60	0.97725
EC:2.7.7.61	0.22365
EC:2.7.7.62	0.55235
EC:2.7.7.63	0.67035
EC:2.7.7.64	3e-04
EC:2.7.7.65	0.5849
EC:2.7.7.66	0.1408
EC:2.7.7.67	0.02685
EC:2.7.7.68	0.1077
EC:2.7.7.7	9.44625
EC:2.7.7.70	0.3442
EC:2.7.7.71	0.0317
EC:2.7.7.72	0.7408
EC:2.7.7.73	0.225
EC:2.7.7.74	0.00475
EC:2.7.7.75	0.26045
EC:2.7.7.76	0.3981
EC:2.7.7.77	0.648
EC:2.7.7.8	0.9612
EC:2.7.7.81	0.0084
EC:2.7.7.82	0.05185
EC:2.7.7.83	0.03915
EC:2.7.7.85	0.40705
EC:2.7.7.87	0.8904
EC:2.7.7.9	1.1996
EC:2.7.8.1	0.00155
EC:2.7.8.11	0.004
EC:2.7.8.12	0.19425
EC:2.7.8.13	0.99485
EC:2.7.8.14	0.07315
EC:2.7.8.15	0.0114
EC:2.7.8.17	5e-05
EC:2.7.8.20	0.38005
EC:2.7.8.24	0.09445
EC:2.7.8.26	0.56785
EC:2.7.8.28	0.1026
EC:2.7.8.31	0.00595
EC:2.7.8.33	0.5442
EC:2.7.8.34	0.0086
EC:2.7.8.36	0.0149
EC:2.7.8.37	0.83535
EC:2.7.8.38	0.002
EC:2.7.8.39	0.02555
EC:2.7.8.41	0.32575
EC:2.7.8.5	1.10615
EC:2.7.8.6	0.07755
EC:2.7.8.7	0.7712
EC:2.7.8.8	0.81905
EC:2.7.9.1	0.3496
EC:2.7.9.2	0.7343
EC:2.7.9.3	0.4226
EC:2.7.9.4	2e-04
EC:2.7.9.5	5e-05
EC:2.8.1.1	1.2857
EC:2.8.1.10	0.7019
EC:2.8.1.12	0.76435
EC:2.8.1.2	1.04585
EC:2.8.1.6	0.8442
EC:2.8.1.7	2.351
EC:2.8.1.8	0.8452
EC:2.8.2.1	0.0126
EC:2.8.2.14	5e-05
EC:2.8.2.2	0.0017
EC:2.8.2.20	0.00055
EC:2.8.2.22	0.099
EC:2.8.2.23	0.00015
EC:2.8.2.3	2e-04
EC:2.8.2.30	1e-04
EC:2.8.2.35	2e-04
EC:2.8.2.4	0.00015
EC:2.8.2.5	5e-05
EC:2.8.3.1	0.11125
EC:2.8.3.10	0.23115
EC:2.8.3.12	0.25995
EC:2.8.3.13	0.0027
EC:2.8.3.15	0.01515
EC:2.8.3.16	0.44275
EC:2.8.3.17	0.0062
EC:2.8.3.18	0.1943
EC:2.8.3.19	0.1223
EC:2.8.3.20	0.0086
EC:2.8.3.21	0.0939
EC:2.8.3.22	0.0333
EC:2.8.3.5	0.85225
EC:2.8.3.6	0.3421
EC:2.8.3.8	0.35765
EC:2.8.3.9	0.27275
EC:2.8.4.1	0.02615
EC:2.8.4.2	0.0288
EC:2.8.4.3	0.8829
EC:2.8.4.4	0.54455
EC:2.8.4.5	0.341
EC:2.9.1.1	0.4787
EC:2.9.1.2	0.00105
EC:3.1.1.1	0.2895
EC:3.1.1.11	0.26555
EC:3.1.1.13	0.00015
EC:3.1.1.15	0.02705
EC:3.1.1.17	0.30235
EC:3.1.1.2	0.00255
EC:3.1.1.22	0.0326
EC:3.1.1.23	0.00125
EC:3.1.1.24	0.3857
EC:3.1.1.27	0.0025
EC:3.1.1.29	1.01585
EC:3.1.1.3	0.3924
EC:3.1.1.31	0.86285
EC:3.1.1.32	0.2907
EC:3.1.1.4	0.2909
EC:3.1.1.41	0.14085
EC:3.1.1.45	0.808
EC:3.1.1.47	0.00155
EC:3.1.1.5	0.8095
EC:3.1.1.53	0.18695
EC:3.1.1.56	0.00175
EC:3.1.1.57	0.0301
EC:3.1.1.61	1.0819
EC:3.1.1.7	7e-04
EC:3.1.1.72	2e-04
EC:3.1.1.73	0.14035
EC:3.1.1.74	0.0973
EC:3.1.1.75	0.1556
EC:3.1.1.77	5e-05
EC:3.1.1.8	2e-04
EC:3.1.1.81	0.02675
EC:3.1.1.83	9e-04
EC:3.1.1.84	0.00175
EC:3.1.1.85	0.39015
EC:3.1.1.89	5e-05
EC:3.1.1.93	2e-04
EC:3.1.1.95	0.0017
EC:3.1.1.96	0.01885
EC:3.1.11.1	0.2961
EC:3.1.11.2	1.3055
EC:3.1.11.3	0.0082
EC:3.1.11.5	1.66245
EC:3.1.11.6	1.865
EC:3.1.12.1	0.17715
EC:3.1.13.1	0.29015
EC:3.1.13.3	0.4062
EC:3.1.13.4	2e-04
EC:3.1.13.5	0.64555
EC:3.1.2.1	0.0316
EC:3.1.2.12	0.49445
EC:3.1.2.14	0.00065
EC:3.1.2.2	0.00035
EC:3.1.2.20	0.0237
EC:3.1.2.21	0.12155
EC:3.1.2.22	5e-05
EC:3.1.2.23	0.1231
EC:3.1.2.25	0.0018
EC:3.1.2.26	0.00055
EC:3.1.2.28	0.19855
EC:3.1.2.29	0.01115
EC:3.1.2.30	0.02165
EC:3.1.2.4	0.00415
EC:3.1.2.6	0.5866
EC:3.1.21.1	0.24505
EC:3.1.21.2	0.52605
EC:3.1.21.3	2.2691
EC:3.1.21.4	0.1819
EC:3.1.21.5	0.3113
EC:3.1.21.7	0.27525
EC:3.1.22.1	0.00745
