sample	weighted_NSTI
Bact191	0.29693294583482305
Bact192	0.2973679087463933
Bact195	0.26436078988067213
Bact207	0.2032364492124716
Bact3-3-2	0.28303449700385
Bact204	0.20908355136318812
Bact3-4-2R	0.2890197192876078
Bact3-4-2	0.2974310655086669
Bact200	0.2995021682038199
Bact202	0.2334639630321826
Bact3-1-2R	0.29698046426662833
Bact3-1-2	0.295850175246103
Bact190	0.2687688766512217
Bact198	0.20653990361352453
Bact3-5-2R	0.297203849883165
Bact208	0.19724683767220647
Bact3-3-2R	0.28017916478321825
Bact197	0.24623330897917933
Bact3-5-2	0.28622112600389643
Bact203	0.2772709014200465
Bact209	0.17379717016591473
Bact193	0.26045832633740884
