pathway	mean_EC
1CMET2-PWY	1.0093
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.2637
AEROBACTINSYN-PWY	0.0716
ALL-CHORISMATE-PWY	0.6276
ANAEROFRUCAT-PWY	1.1235
ANAGLYCOLYSIS-PWY	1.2129
ARG+POLYAMINE-SYN	0.6586
ARGDEG-PWY	0.2668
ARGORNPROST-PWY	0.5763
ARGSYN-PWY	0.9676
ARGSYNBSUB-PWY	1.0324
ARO-PWY	1.1628
ASPASN-PWY	0.7413
AST-PWY	0.2969
BENZCOA-PWY	0.0052
BIOTIN-BIOSYNTHESIS-PWY	0.8734
BRANCHED-CHAIN-AA-SYN-PWY	1.3504
CALVIN-PWY	1.3055
CATECHOL-ORTHO-CLEAVAGE-PWY	0.1923
CENTBENZCOA-PWY	0.005
CENTFERM-PWY	0.2551
CHLOROPHYLL-SYN	0.0628
COA-PWY	0.9997
COBALSYN-PWY	0.5731
CODH-PWY	0.0688
COLANSYN-PWY	0.7675
COMPLETE-ARO-PWY	1.2156
CRNFORCAT-PWY	0.1073
DAPLYSINESYN-PWY	1.0809
DENITRIFICATION-PWY	0.1082
DENOVOPURINE2-PWY	1.0543
DHGLUCONATE-PYR-CAT-PWY	0.0659
DTDPRHAMSYN-PWY	0.9424
ECASYN-PWY	0.24
ENTBACSYN-PWY	0.5445
FAO-PWY	1.268
FASYN-ELONG-PWY	1.3634
FASYN-INITIAL-PWY	1.0208
FERMENTATION-PWY	0.9979
FOLSYN-PWY	1.0793
FUC-RHAMCAT-PWY	0.2375
FUCCAT-PWY	0.2363
GALACT-GLUCUROCAT-PWY	0.4041
GALACTARDEG-PWY	0.251
GALACTUROCAT-PWY	0.5203
GALLATE-DEGRADATION-I-PWY	0.0827
GALLATE-DEGRADATION-II-PWY	0.0827
GLCMANNANAUT-PWY	0.3983
GLUCARDEG-PWY	0.2644
GLUCARGALACTSUPER-PWY	0.251
GLUCONEO-PWY	1.1375
GLUCOSE1PMETAB-PWY	0.4866
GLUCUROCAT-PWY	0.5145
GLUTORN-PWY	0.9041
GLYCOCAT-PWY	0.8395
GLYCOGENSYNTH-PWY	0.8229
GLYCOL-GLYOXDEG-PWY	0.2075
