pathway	mean_EC
GLYCOLYSIS	1.2213
GLYCOLYSIS-E-D	1.0636
GLYCOLYSIS-TCA-GLYOX-BYPASS	1.013
GLYOXYLATE-BYPASS	0.7753
GOLPDLCAT-PWY	0.1115
HCAMHPDEG-PWY	0.1499
HEME-BIOSYNTHESIS-II	0.6324
HEMESYN2-PWY	1.0134
HEXITOLDEGSUPER-PWY	0.6633
HISDEG-PWY	0.5707
HISTSYN-PWY	0.8872
HOMOSER-METSYN-PWY	0.6983
HSERMETANA-PWY	0.8212
ILEUDEG-PWY	0.0029
ILEUSYN-PWY	1.5388
KDO-NAGLIPASYN-PWY	0.4943
KETOGLUCONMET-PWY	0.2369
LACTOSECAT-PWY	0.2092
LEU-DEG2-PWY	0.4561
LIPASYN-PWY	0.0454
LPSSYN-PWY	0.218
MET-SAM-PWY	0.9347
METH-ACETATE-PWY	0.1141
METHANOGENESIS-PWY	0.0439
METHGLYUT-PWY	0.2106
METHYLGALLATE-DEGRADATION-PWY	0.102
NAD-BIOSYNTHESIS-II	0.3788
NADSYN-PWY	0.1694
NAGLIPASYN-PWY	0.6147
NONMEVIPP-PWY	0.871
NONOXIPENT-PWY	1.5348
NPGLUCAT-PWY	0.0021
OANTIGEN-PWY	0.9718
ORNARGDEG-PWY	0.2668
ORNDEG-PWY	0.2883
P101-PWY	0.2431
P105-PWY	1.1094
P108-PWY	0.6379
P122-PWY	0.5379
P124-PWY	0.5852
P125-PWY	0.2574
P161-PWY	1.0853
P162-PWY	0.0741
P163-PWY	0.0799
P164-PWY	0.5651
P184-PWY	0.0639
P221-PWY	0.313
P23-PWY	1.0806
P241-PWY	0.0214
P261-PWY	0.0449
P281-PWY	0.1773
P341-PWY	0.0387
P381-PWY	0.2937
P4-PWY	0.9758
P42-PWY	1.037
P441-PWY	0.7271
P461-PWY	0.515
P562-PWY	0.2995
P621-PWY	0.0279
PANTO-PWY	0.9635
PANTOSYN-PWY	0.9525
PENTOSE-P-PWY	1.1378
PEPTIDOGLYCANSYN-PWY	1.0534
PHOSLIPSYN-PWY	1.2667
POLYAMINSYN3-PWY	0.4263
POLYAMSYN-PWY	0.5016
POLYISOPRENSYN-PWY	0.9274
PPGPPMET-PWY	0.6368
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	0.4694
PRPP-PWY	1.0136
PWY-1269	0.6428
PWY-1361	0.0333
PWY-1422	0.0155
PWY-1501	0.0336
PWY-1541	0.0642
PWY-1622	0.1478
PWY-181	0.5586
PWY-1861	0.5392
PWY-1882	0.0433
PWY-2201	0.0024
PWY-2221	0.0465
PWY-2941	0.3878
PWY-2942	1.3062
PWY-3001	1.2334
PWY-3081	0.0024
PWY-3661	0.2203
PWY-3781	2.4442
PWY-3801	0.1668
PWY-3941	0.0089
PWY-4361	0.0849
PWY-4722	0.0145
PWY-4984	0.5431
PWY-5005	0.1222
PWY-5022	0.5641
PWY-5028	0.2146
PWY-5080	0.0002
PWY-5088	0.0934
PWY-5097	1.1861
PWY-5100	0.7976
PWY-5101	1.6089
PWY-5103	1.248
PWY-5104	1.0777
PWY-5121	0.8915
PWY-5154	0.8764
PWY-5177	0.0437
PWY-5178	0.1652
PWY-5179	0.0062
PWY-5180	0.3687
PWY-5181	0.2527
PWY-5182	0.3687
PWY-5183	0.1486
PWY-5184	0.0053
PWY-5188	0.9383
PWY-5189	0.897
PWY-5198	0.0677
PWY-5265	0.2814
PWY-5266	0.3283
PWY-5273	0.3283
PWY-5304	0.2106
PWY-5345	0.9324
PWY-5347	0.9225
PWY-5384	0.4823
PWY-5392	0.008
PWY-5415	0.3378
PWY-5417	0.1931
PWY-5419	0.1409
PWY-5420	0.1897
PWY-5427	0.0017
PWY-5430	0.1562
PWY-5431	0.1931
PWY-5484	1.1791
PWY-5499	0.003
PWY-5505	0.5947
PWY-5507	0.2699
PWY-5509	0.5184
PWY-5519	0.0058
PWY-5529	0.0879
PWY-5531	0.0948
PWY-5532	0.0378
PWY-5634	0.0007
PWY-5647	0.081
PWY-5651	0.1174
PWY-5654	0.0884
PWY-5655	0.1171
PWY-5656	0.0093
PWY-5659	1.0763
PWY-5667	1.3653
PWY-5675	0.0002
PWY-5676	0.5305
PWY-5677	0.0845
PWY-5679	0.0011
PWY-5686	1.1896
PWY-5695	1.2855
PWY-5705	0.2692
PWY-5724	0.0005
PWY-5737	0.0029
PWY-5741	0.0848
PWY-5743	0.0107
PWY-5744	0.0104
PWY-5747	0.3479
PWY-5757	0.0011
PWY-5789	0.0097
PWY-5823	0.0298
PWY-5837	0.415
PWY-5838	0.5849
PWY-5840	0.5789
PWY-5845	0.5214
PWY-5850	0.5214
PWY-5855	0.7106
PWY-5856	0.7106
PWY-5857	0.7106
PWY-5860	0.4282
PWY-5861	0.4943
PWY-5862	0.4282
PWY-5863	0.44
PWY-5896	0.5214
PWY-5897	0.5742
PWY-5898	0.5742
PWY-5899	0.5742
PWY-5910	0.2903
PWY-5913	0.8469
PWY-5918	0.7772
PWY-5920	0.5643
PWY-5940	0.0041
PWY-5941	0.1715
PWY-5971	1.215
PWY-5973	1.5631
PWY-5989	1.1271
PWY-6071	0.2498
PWY-6107	0.0496
PWY-6113	0.0236
PWY-6121	1.1783
PWY-6122	1.1404
PWY-6123	0.992
PWY-6125	1.1343
PWY-6126	1.2126
PWY-6141	0.0061
PWY-6142	0.0506
PWY-6143	0.0211
PWY-6145	0.0038
PWY-6146	0.0256
PWY-6147	1.0006
PWY-6148	0.0451
PWY-6151	0.8803
PWY-6163	1.126
PWY-6165	0.0683
PWY-6167	0.0632
PWY-6174	0.0605
PWY-6182	0.1976
PWY-6185	0.1858
PWY-621	0.701
PWY-6210	0.0513
PWY-622	0.0187
PWY-6263	0.246
PWY-6269	0.5216
PWY-6277	1.1404
PWY-6281	0.0018
PWY-6282	1.1069
PWY-6284	0.0065
PWY-6285	0.0135
PWY-6317	0.7937
PWY-6338	0.0492
PWY-6339	0.129
PWY-6349	0.0334
PWY-6350	0.0314
PWY-6353	1.0702
PWY-6383	0.2084
PWY-6385	1.043
PWY-6386	1.0495
PWY-6387	1.0654
PWY-6395	0.0003
PWY-6396	0.295
PWY-6397	0.0489
PWY-6404	0.1415
PWY-6467	0.5998
PWY-6470	0.2818
PWY-6471	0.4783
PWY-6478	0.1235
PWY-6486	0.007
PWY-6505	0.0974
PWY-6507	0.4273
PWY-6519	0.9095
PWY-6545	0.566
PWY-6562	0.2198
PWY-6565	0.0617
PWY-6572	0.0337
PWY-6581	0.0104
PWY-6588	0.4381
PWY-6590	0.3037
PWY-6598	0.0002
PWY-6608	1.1042
PWY-6609	0.9108
PWY-6612	1.0257
PWY-6628	1.0212
PWY-6629	0.5472
PWY-6630	0.9955
PWY-6641	0.0619
PWY-6654	0.0418
PWY-6660	0.0062
PWY-6662	0.0052
PWY-6690	0.1499
PWY-6700	0.7609
PWY-6703	0.7819
PWY-6708	0.7106
PWY-6713	0.0354
PWY-6728	0.1794
PWY-6731	0.0271
PWY-6737	0.8147
PWY-6749	0.1093
PWY-6760	0.0011
PWY-6797	0.0052
PWY-6830	0.0133
PWY-6876	0.1792
PWY-6891	0.3937
PWY-6892	0.5782
PWY-6895	0.6906
PWY-6897	0.8579
PWY-6901	0.9669
PWY-6906	0.0678
PWY-6915	0.0015
PWY-6919	0.0055
PWY-6942	0.0048
PWY-6944	0.0729
PWY-6946	0.0014
PWY-6948	0.0258
PWY-6956	0.0033
PWY-6957	0.0845
PWY-6969	1.1926
PWY-6975	0.0008
PWY-6977	0.0013
PWY-6992	0.0433
PWY-6993	0.0011
PWY-7002	0.0033
PWY-7003	0.5642
PWY-7007	0.1782
PWY-7013	0.4585
PWY-7014	0.002
PWY-7015	0.0009
PWY-7016	0.0004
PWY-7019	0.0005
PWY-7020	0.0005
PWY-7021	0.0005
PWY-7022	0.0017
PWY-7024	0.0144
PWY-7031	0.0118
PWY-7046	0.0143
PWY-7084	0.0194
PWY-7090	0.0592
PWY-7094	1.2871
PWY-7097	0.0492
PWY-7098	0.0546
PWY-7106	0.0008
PWY-7110	0.0012
PWY-7111	1.8533
PWY-7159	0.0948
PWY-7184	1.0562
PWY-7185	0.006
PWY-7187	0.8387
PWY-7196	0.9367
PWY-7197	0.9333
PWY-7198	0.0877
PWY-7199	0.7395
PWY-7200	0.8243
PWY-7208	1.2528
PWY-7209	0.0021
PWY-7210	0.1215
PWY-7211	1.0579
PWY-7219	1.2642
PWY-722	0.0505
PWY-7220	1.1545
PWY-7221	1.1652
PWY-7222	1.1545
PWY-7228	1.1839
PWY-7229	1.2848
PWY-7234	0.9446
PWY-7237	0.4528
PWY-7242	0.7566
PWY-7254	0.8945
PWY-7255	0.1186
PWY-7274	0.0015
PWY-7286	0.0205
PWY-7287	0.001
PWY-7295	0.0487
PWY-7315	0.3623
PWY-7316	0.0058
PWY-7323	0.8016
PWY-7328	0.5658
PWY-7332	0.235
PWY-7347	0.0563
PWY-7352	0.0012
PWY-7354	0.0022
PWY-7371	0.1038
PWY-7373	0.0701
PWY-7374	0.0785
PWY-7376	0.3176
PWY-7377	0.2808
PWY-7385	0.0003
PWY-7391	0.1468
PWY-7392	0.8247
PWY-7398	0.0101
PWY-7400	0.9626
PWY-7401	0.0023
PWY-7402	0.0023
PWY-7413	0.0011
PWY-7415	0.0011
PWY-7431	0.3932
PWY-7446	0.1079
PWY-7456	0.1339
PWY-7483	0.0004
PWY-7524	0.0014
PWY-7527	0.1248
PWY-7528	0.0091
PWY-7539	1.0242
PWY-7560	0.871
PWY-7616	0.169
PWY-7644	0.0093
PWY-7663	1.5874
PWY-7664	1.1516
PWY-841	1.1535
PWY-922	0.2225
PWY0-1061	1.0904
PWY0-1241	0.3935
PWY0-1261	1.2189
PWY0-1277	0.2633
PWY0-1296	0.7223
PWY0-1297	0.7864
PWY0-1298	0.6812
PWY0-1319	1.3653
PWY0-1338	0.1824
PWY0-1415	0.5228
PWY0-1479	0.6845
PWY0-1533	0.3463
PWY0-1586	1.0052
PWY0-162	1.159
PWY0-166	0.9718
PWY0-321	0.2712
PWY0-41	0.1987
PWY0-42	0.3323
PWY0-781	0.9459
PWY0-845	0.6535
PWY0-862	1.0779
PWY1G-0	0.1116
PWY490-3	0.1366
PWY4FS-7	1.2165
PWY4FS-8	1.2165
PWY5F9-12	0.0063
PWYG-321	1.198
PYRIDNUCSAL-PWY	0.6764
PYRIDNUCSYN-PWY	0.7721
PYRIDOXSYN-PWY	0.5788
REDCITCYC	1.1508
RHAMCAT-PWY	0.3067
RIBOSYN2-PWY	0.9953
RUMP-PWY	0.4004
SALVADEHYPOX-PWY	1.1177
SER-GLYSYN-PWY	1.2951
SO4ASSIM-PWY	0.873
SUCSYN-PWY	0.1646
SULFATE-CYS-PWY	1.0378
TCA	1.2252
TCA-GLYOX-BYPASS	0.884
TEICHOICACID-PWY	0.2575
THISYN-PWY	0.7777
THREOCAT-PWY	0.2539
THRESYN-PWY	1.1549
TRNA-CHARGING-PWY	1.0433
TRPSYN-PWY	1.0275
TYRFUMCAT-PWY	0.3771
UBISYN-PWY	0.6831
UDPNAGSYN-PWY	1.0335
VALDEG-PWY	0.0124
VALSYN-PWY	1.5388
