pathway	mean_EC
1CMET2-PWY	0.7930678092
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.5626275565
AEROBACTINSYN-PWY	0.3717723496
ALL-CHORISMATE-PWY	0.7198906161
ANAEROFRUCAT-PWY	0.814241445
ANAGLYCOLYSIS-PWY	0.8258581347
ARG+POLYAMINE-SYN	0.7201127105
ARGDEG-PWY	0.5884375039
ARGORNPROST-PWY	0.6939075248
ARGSYN-PWY	0.7856357749
ARGSYNBSUB-PWY	0.7979170284
ARO-PWY	0.8185318652
ASPASN-PWY	0.7399570657
AST-PWY	0.5712795473
BENZCOA-PWY	0.1815947669
BIOTIN-BIOSYNTHESIS-PWY	0.7747766279
BRANCHED-CHAIN-AA-SYN-PWY	0.8451419
CALVIN-PWY	0.8388667735
CATECHOL-ORTHO-CLEAVAGE-PWY	0.5051698314
CENTBENZCOA-PWY	0.1541248857
CENTFERM-PWY	0.5802980583
CHLOROPHYLL-SYN	0.407187157
COA-PWY	0.7909189204
COBALSYN-PWY	0.6891693297
CODH-PWY	0.4035213463
COLANSYN-PWY	0.753751645
COMPLETE-ARO-PWY	0.8265302258
CRNFORCAT-PWY	0.4846863359
DAPLYSINESYN-PWY	0.8075232548
DENITRIFICATION-PWY	0.4218409011
DENOVOPURINE2-PWY	0.8037705772
DHGLUCONATE-PYR-CAT-PWY	0.3981806306
DTDPRHAMSYN-PWY	0.7807340467
ECASYN-PWY	0.5559382721
ENTBACSYN-PWY	0.6924798348
FAO-PWY	0.8345958977
FASYN-ELONG-PWY	0.8476573272
FASYN-INITIAL-PWY	0.8020652787
FERMENTATION-PWY	0.7958928375
FOLSYN-PWY	0.8054306509
FUC-RHAMCAT-PWY	0.5385816679
FUCCAT-PWY	0.5387962527
GALACT-GLUCUROCAT-PWY	0.6343530281
GALACTARDEG-PWY	0.5488454081
GALACTUROCAT-PWY	0.6758319294
GALLATE-DEGRADATION-I-PWY	0.3860945312
GALLATE-DEGRADATION-II-PWY	0.3860945312
GLCMANNANAUT-PWY	0.6314953458
GLUCARDEG-PWY	0.5579700331
GLUCARGALACTSUPER-PWY	0.5488454081
GLUCONEO-PWY	0.8172120442
GLUCOSE1PMETAB-PWY	0.6781760041
GLUCUROCAT-PWY	0.674427288
GLUTORN-PWY	0.7730228084
GLYCOCAT-PWY	0.7610198705
GLYCOGENSYNTH-PWY	0.7559584277
GLYCOL-GLYOXDEG-PWY	0.5227175887
GLYCOLYSIS	0.827810979
GLYCOLYSIS-E-D	0.8044028056
GLYCOLYSIS-TCA-GLYOX-BYPASS	0.7991156298
GLYOXYLATE-BYPASS	0.7465606764
GOLPDLCAT-PWY	0.4413812712
HCAMHPDEG-PWY	0.4706587094
HEME-BIOSYNTHESIS-II	0.7104533832
HEMESYN2-PWY	0.7953124472
HEXITOLDEGSUPER-PWY	0.7383803176
HISDEG-PWY	0.6885215356
HISTSYN-PWY	0.7702867094
HOMOSER-METSYN-PWY	0.7264529036
HSERMETANA-PWY	0.7553073747
ILEUDEG-PWY	0.199470619
ILEUSYN-PWY	0.865355221
