Compound	Metabolite
C18n_QI3050	
C18n_QI3174	
C18n_QI3467	
C18n_QI3866	
C18n_QI4310	
C18n_QI6122	
C18n_QI6584	
C18n_QI7136	
C18n_QI7520	
C18n_QI7610	
C18n_QI7886	
C18n_QI7887	
C18n_QI7947	
C18n_QI8014	
C18n_QI8297	
C18n_QI8356	
C18n_QI8424	
C18n_QI10215	
C18n_QI10685	
C18n_QI11044	
C18n_QI11097	
C18n_QI11418	
C18n_QI11464	
C18n_QI12675	
C18n_QI12696	
C18n_QI12996	
C18n_QI13558	
C18n_QI13614	
C18n_QI832	
C18n_QI1001	
C18n_QI1195	
C18n_QI1249	
C18n_QI1430	
C18n_QI1679	
C18n_QI1951	
C18n_QI2382	
C18n_QI3051	
C18n_QI3545	
C18n_QI3929	
C18n_QI4398	
C18n_QI7888	
C18n_QI8298	
C18n_QI9332	
C18n_QI9797	
C18n_QI10216	
C18n_QI10277	
C18n_QI12471	
C18n_QI12676	
C18n_QI1681	
C18n_QI2327	
C18n_QI3401	
C18n_QI5126	
C18n_QI5264	
C18n_QI5554	
C18n_QI5667	
C18n_QI5679	
C18n_QI6123	
C18n_QI6424	
C18n_QI6511	
C18n_QI6587	
C18n_QI6665	
C18n_QI7070	
C18n_QI8301	
C18n_QI8358	
C18n_QI9345	
C18n_QI13099	
C18n_QI13252	
C18n_QI13261	
C18n_QI13525	
C18n_QI13619	
C18n_QI13835	
C18n_QI115	
C18n_QI529	
C18n_QI606	
C18n_QI632	
C18n_QI733	
C18n_QI879	
C18n_QI1270	
C18n_QI1389	
C18n_QI1504	
C18n_QI1519	
C18n_QI1525	
C18n_QI1539	
C18n_QI1542	
C18n_QI1670	
C18n_QI1699	
C18n_QI1741	
C18n_QI1860	
C18n_QI1966	
C18n_QI2001	
C18n_QI2139	
C18n_QI2284	
C18n_QI2366	
C18n_QI2658	
C18n_QI3068	
C18n_QI3123	
C18n_QI3208	
C18n_QI3482	
C18n_QI4097	
C18n_QI4392	
C18n_QI4633	
C18n_QI4692	
C18n_QI5132	
C18n_QI5196	
C18n_QI5300	
C18n_QI5498	
C18n_QI5559	
C18n_QI5619	
C18n_QI5704	
C18n_QI5812	
C18n_QI5979	
C18n_QI6597	
C18n_QI6708	
C18n_QI6873	
C18n_QI7305	
C18n_QI7674	
C18n_QI7775	
C18n_QI7835	
C18n_QI8244	
C18n_QI8296	
C18n_QI8695	
C18n_QI8770	
C18n_QI8827	
C18n_QI9205	
C18n_QI9522	
C18n_QI10196	
C18n_QI10461	
C18n_QI10688	
C18n_QI10924	
C18n_QI10935	
C18n_QI11364	
C18n_QI12076	
C18n_QI12439	
C18n_QI12448	
C18n_QI13865	
C18n_QI158	
C18n_QI170	
C18n_QI433	
C18n_QI441	
C18n_QI510	
C18n_QI518	
C18n_QI530	
C18n_QI622	
C18n_QI937	
C18n_QI954	
C18n_QI961	
C18n_QI991	
C18n_QI1016	
C18n_QI1069	
C18n_QI1116	
C18n_QI1616	
C18n_QI1678	
C18n_QI1747	
C18n_QI1832	
C18n_QI1922	
C18n_QI1969	
C18n_QI2110	
C18n_QI2141	
C18n_QI2142	
C18n_QI2195	
C18n_QI2198	
C18n_QI2274	
C18n_QI2323	
C18n_QI2392	
C18n_QI2471	
C18n_QI2527	
C18n_QI2579	
C18n_QI2668	
C18n_QI2715	
C18n_QI2973	
C18n_QI2998	
C18n_QI3049	
C18n_QI3082	
C18n_QI3139	
C18n_QI3385	
C18n_QI3471	
C18n_QI3492	
C18n_QI3524	
C18n_QI3565	
C18n_QI3570	
C18n_QI3694	
C18n_QI3941	
C18n_QI3995	
C18n_QI4052	
C18n_QI4098	
C18n_QI4161	
C18n_QI4347	
C18n_QI4364	
C18n_QI4404	
C18n_QI4427	
C18n_QI4463	
C18n_QI4527	
C18n_QI4626	
C18n_QI4687	
C18n_QI4863	
C18n_QI4891	
C18n_QI5111	
C18n_QI5243	
C18n_QI5310	
C18n_QI5395	
C18n_QI5444	
C18n_QI5491	
C18n_QI5555	
C18n_QI5561	
C18n_QI6327	
C18n_QI6677	
C18n_QI6801	
C18n_QI6870	
C18n_QI7304	
C18n_QI7376	
C18n_QI7889	
C18n_QI8696	
C18n_QI8830	
C18n_QI9877	
C18n_QI11191	
C18n_QI11793	
C18n_QI12719	
C18n_QI13159	
C18n_QI13174	
C18n_QI13415	
C18n_QI109	
C18n_QI246	
C18n_QI472	
C18n_QI557	
C18n_QI766	
C18n_QI770	
C18n_QI837	
C18n_QI881	
C18n_QI924	
C18n_QI936	
C18n_QI969	
C18n_QI1071	
C18n_QI1104	
C18n_QI1282	
C18n_QI1285	
C18n_QI1303	
C18n_QI1313	
C18n_QI1390	
C18n_QI1420	
C18n_QI1454	
C18n_QI1459	
C18n_QI1577	
C18n_QI1634	
C18n_QI1635	
C18n_QI1647	
C18n_QI1702	
C18n_QI1758	
C18n_QI1788	
C18n_QI1800	
C18n_QI1862	
C18n_QI1901	
C18n_QI1994	
C18n_QI2039	
C18n_QI2081	
C18n_QI2154	
C18n_QI2217	
C18n_QI2297	
C18n_QI2321	
C18n_QI2378	
C18n_QI2407	
C18n_QI2437	
C18n_QI2453	
C18n_QI2480	
C18n_QI2598	
C18n_QI2654	
C18n_QI2703	
C18n_QI2799	
C18n_QI2816	
C18n_QI3112	
C18n_QI3168	
C18n_QI3317	
C18n_QI3465	
C18n_QI3594	
C18n_QI3613	
C18n_QI3646	
C18n_QI3699	
C18n_QI3788	
C18n_QI3823	
C18n_QI3928	
C18n_QI4081	
C18n_QI4312	
C18n_QI4369	
C18n_QI4451	
C18n_QI4509	
C18n_QI4524	
C18n_QI4558	
C18n_QI4782	
C18n_QI4848	
C18n_QI4887	
C18n_QI4895	
C18n_QI4954	
C18n_QI5124	
C18n_QI5213	
C18n_QI5277	
C18n_QI5321	
C18n_QI5378	
C18n_QI5454	
C18n_QI5627	
C18n_QI5662	
C18n_QI5920	
C18n_QI6325	
C18n_QI6447	
C18n_QI6513	
C18n_QI6586	
C18n_QI6674	
C18n_QI6997	
C18n_QI7375	
C18n_QI7716	
C18n_QI8081	
C18n_QI8773	
C18n_QI8943	
C18n_QI10278	
C18n_QI10356	
C18n_QI10684	
C18n_QI11098	
C18n_QI11530	
C18n_QI12867	
C18n_QI183	
C18n_QI339	
C18n_QI432	
C18n_QI455	
C18n_QI580	
C18n_QI661	
C18n_QI665	
C18n_QI676	
C18n_QI779	
C18n_QI928	
C18n_QI952	
C18n_QI974	
C18n_QI1022	
C18n_QI1076	
C18n_QI1113	
C18n_QI1124	
C18n_QI1218	
C18n_QI1363	
C18n_QI1422	
C18n_QI1453	
C18n_QI1463	
C18n_QI1465	
C18n_QI1493	
C18n_QI1500	
C18n_QI1607	
C18n_QI1613	
C18n_QI1718	
C18n_QI1879	
C18n_QI1935	
C18n_QI2012	
C18n_QI2187	
C18n_QI2449	
C18n_QI2501	
C18n_QI2700	
C18n_QI2772	
C18n_QI2858	
C18n_QI2895	
C18n_QI2961	
C18n_QI2972	
C18n_QI3121	
C18n_QI3224	
C18n_QI3273	
C18n_QI3444	
C18n_QI3544	
C18n_QI3561	
C18n_QI3754	
C18n_QI4673	
C18n_QI4986	
C18n_QI5140	
C18n_QI5179	
C18n_QI5259	
C18n_QI5319	
C18n_QI5330	
C18n_QI5487	
C18n_QI5552	
C18n_QI5618	
C18n_QI5688	
C18n_QI5866	
C18n_QI6049	
C18n_QI6376	
C18n_QI6593	
C18n_QI7173	
C18n_QI7523	
C18n_QI7836	
C18n_QI8188	
C18n_QI8561	
C18n_QI8941	
C18n_QI9274	
C18n_QI9722	
C18n_QI10936	
C18n_QI11148	
C18n_QI96	
C18n_QI123	
C18n_QI132	
C18n_QI139	
C18n_QI191	
C18n_QI208	
C18n_QI218	
C18n_QI236	
C18n_QI351	
C18n_QI469	
C18n_QI775	
C18n_QI801	
C18n_QI844	
C18n_QI955	
C18n_QI1182	
C18n_QI1291	
C18n_QI1292	
C18n_QI1377	
C18n_QI1451	
C18n_QI1526	
C18n_QI1541	
C18n_QI1759	
C18n_QI1825	
C18n_QI1920	
C18n_QI2053	
C18n_QI2184	
C18n_QI2266	
C18n_QI2634	
C18n_QI2689	
C18n_QI2696	
C18n_QI2996	
C18n_QI3041	
C18n_QI3220	
C18n_QI3229	
C18n_QI3292	
C18n_QI3459	
C18n_QI3464	
C18n_QI3875	
C18n_QI4022	
C18n_QI4044	
C18n_QI5063	
C18n_QI5186	
C18n_QI5391	
C18n_QI8698	
C18n_QI11047	
C18n_QI93	
C18n_QI136	
C18n_QI148	
C18n_QI162	
C18n_QI175	
C18n_QI178	
C18n_QI182	
C18n_QI190	
C18n_QI235	
C18n_QI244	
C18n_QI248	
C18n_QI250	
C18n_QI335	
C18n_QI342	
C18n_QI346	
C18n_QI360	
C18n_QI394	
C18n_QI426	
C18n_QI465	
C18n_QI476	
C18n_QI536	
C18n_QI568	
C18n_QI569	
C18n_QI588	
C18n_QI620	
C18n_QI727	
C18n_QI750	
C18n_QI751	
C18n_QI763	
C18n_QI768	
C18n_QI781	
C18n_QI819	
C18n_QI854	
C18n_QI911	
C18n_QI935	
C18n_QI950	
C18n_QI985	
C18n_QI998	
C18n_QI1036	
C18n_QI82	
C18n_QI1090	
C18n_QI1152	
C18n_QI1155	
C18n_QI1167	
C18n_QI1277	
C18n_QI1382	
C18n_QI1421	
C18n_QI1424	
C18n_QI1512	
C18n_QI1562	
C18n_QI1592	
C18n_QI1594	
C18n_QI1600	
C18n_QI1605	
C18n_QI1638	
C18n_QI1640	
C18n_QI1650	
C18n_QI1663	
C18n_QI1683	
C18n_QI1725	
C18n_QI1753	
C18n_QI1795	
C18n_QI1854	
C18n_QI1870	
C18n_QI1897	
C18n_QI1939	
C18n_QI2009	
C18n_QI2016	
C18n_QI2023	
C18n_QI2026	
C18n_QI2073	
C18n_QI2101	
C18n_QI2192	
C18n_QI2230	
C18n_QI2338	
C18n_QI2421	
C18n_QI2462	
C18n_QI2467	
C18n_QI2542	
C18n_QI2573	
C18n_QI2646	
C18n_QI2850	
C18n_QI2888	
C18n_QI2904	
C18n_QI3111	
C18n_QI3115	
C18n_QI3120	
C18n_QI3264	
C18n_QI3283	
C18n_QI3345	
C18n_QI3404	
C18n_QI3453	
C18n_QI3527	
C18n_QI3538	
C18n_QI3758	
C18n_QI3976	
C18n_QI4086	
C18n_QI4174	
C18n_QI4903	
C18n_QI5113	
C18n_QI5569	
C18n_QI5992	
C18n_QI6056	
C18n_QI6925	
C18n_QI7006	
C18n_QI7939	
C18n_QI8067	
C18n_QI8429	
C18n_QI9183	
C18n_QI9502	
C18n_QI9981	
C18n_QI10679	
C18n_QI10810	
C18n_QI11533	
C18n_QI13160	
C18n_QI99	
C18n_QI117	
C18n_QI279	
C18n_QI293	
C18n_QI370	
C18n_QI393	
C18n_QI407	
C18n_QI429	
C18n_QI431	
C18n_QI446	
C18n_QI486	
C18n_QI508	
C18n_QI593	
C18n_QI625	
C18n_QI630	
C18n_QI689	
C18n_QI729	
C18n_QI857	
C18n_QI904	
C18n_QI905	
C18n_QI932	
C18n_QI960	
C18n_QI982	
C18n_QI990	
C18n_QI994	
C18n_QI1035	
C18n_QI1065	
C18n_QI1147	
C18n_QI1150	
C18n_QI1215	
C18n_QI1281	
C18n_QI1314	
C18n_QI1342	
C18n_QI1354	
C18n_QI1357	
C18n_QI1364	
C18n_QI1474	
C18n_QI1480	
C18n_QI1490	
C18n_QI1503	
C18n_QI1627	
C18n_QI1685	
C18n_QI1698	
C18n_QI1720	
C18n_QI1732	
C18n_QI1768	
C18n_QI2033	
C18n_QI2038	
C18n_QI2071	
C18n_QI2108	
C18n_QI2109	
C18n_QI2193	
C18n_QI2280	
C18n_QI2351	
C18n_QI2481	
C18n_QI2640	
C18n_QI2796	
C18n_QI2814	
C18n_QI2870	
C18n_QI2876	
C18n_QI2925	
C18n_QI2980	
C18n_QI3042	
C18n_QI3176	
C18n_QI3213	
C18n_QI3553	
C18n_QI3603	
C18n_QI3643	
C18n_QI3645	
C18n_QI3707	
C18n_QI3749	
C18n_QI3796	
C18n_QI4029	
C18n_QI4103	
C18n_QI4154	
C18n_QI4181	
C18n_QI4258	
C18n_QI4311	
C18n_QI4572	
C18n_QI4953	
C18n_QI4989	
C18n_QI5016	
C18n_QI5021	
C18n_QI5058	
C18n_QI5071	
C18n_QI5080	
C18n_QI5322	
C18n_QI5383	
C18n_QI5505	
C18n_QI5631	
C18n_QI5681	
C18n_QI5748	
C18n_QI6250	
C18n_QI6334	
C18n_QI6336	
C18n_QI6876	
C18n_QI7427	
C18n_QI7655	
C18n_QI8149	
C18n_QI8209	
C18n_QI8285	
C18n_QI8641	
C18n_QI9248	
C18n_QI11303	
C18n_QI12220	
C18n_QI13083	
C18n_QI13928	
C18n_QI202	
C18n_QI214	
C18n_QI231	
C18n_QI708	
C18n_QI732	
C18n_QI736	
C18n_QI752	
C18n_QI760	
C18n_QI865	
C18n_QI913	
C18n_QI1365	
C18n_QI1576	
C18n_QI1598	
C18n_QI1789	
C18n_QI1851	
C18n_QI1892	
C18n_QI2747	
C18n_QI3222	
C18n_QI3336	
C18n_QI3449	
C18n_QI3473	
C18n_QI3891	
C18n_QI3980	
C18n_QI4522	
C18n_QI4566	
C18n_QI4877	
C18n_QI4933	
C18n_QI5007	
C18n_QI5195	
C18n_QI5200	
C18n_QI5431	
C18n_QI5802	
C18n_QI6052	
C18n_QI6132	
C18n_QI6180	
C18n_QI6199	
C18n_QI6570	
C18n_QI6709	
C18n_QI6784	
C18n_QI6915	
C18n_QI7178	
C18n_QI7228	
C18n_QI7595	
C18n_QI7656	
C18n_QI7767	
C18n_QI8133	
C18n_QI8464	
C18n_QI8932	
C18n_QI9442	
C18n_QI9498	
C18n_QI10047	
C18n_QI10282	
C18n_QI11621	
C18n_QI435	
C18n_QI584	
C18n_QI831	
C18n_QI898	
C18n_QI1063	
C18n_QI1105	
C18n_QI1371	
C18n_QI1666	
C18n_QI2085	
C18n_QI2296	
C18n_QI3634	
C18n_QI3638	
C18n_QI3974	
C18n_QI4076	
C18n_QI4222	
C18n_QI4291	
C18n_QI5181	
C18n_QI6595	
C18n_QI8878	
C18n_QI10001	
C18n_QI11141	
C18n_QI12612	
C18n_QI240	
C18n_QI453	
C18n_QI481	
C18n_QI551	
C18n_QI786	
C18n_QI883	
C18n_QI996	
C18n_QI1021	
C18n_QI1082	
C18n_QI1185	
C18n_QI1226	
C18n_QI1448	
C18n_QI1487	
C18n_QI1494	
C18n_QI1855	
C18n_QI1929	
C18n_QI1973	
